Base index shifted,AT#TOP#AVERAGE,AT#TOP#STD,AT#BOT#AVERAGE,AT#BOT#STD
-0.5,0.04606144344095812,0.0006734084131955743,0.0003749809286413327,7.094209766896492e-05
0.5,0.04680206953984485,0.0020843990318305016,0.9697841862958753,0.0031994088394143414
1.5,0.03990053208721537,0.0014333482785725677,0.004833093042597486,0.0008417868830366161
2.5,0.0799831770312339,0.0021516854475020506,0.0008964917529075141,5.807079378785445e-05
3.5,0.06347921425134617,0.0014601693953931265,0.0007712069184515002,5.674789034532393e-05
4.5,0.0371737098632113,0.0013875838661711257,0.0006338038298831675,0.00023628561172590347
5.5,0.06030029269607279,0.0023382384669854263,0.000785319122750867,0.0001306945882676329
6.5,0.02674401149720222,0.0009153481006881241,0.0004318132886008541,0.00010041383967710809
7.5,0.02995091816017608,0.0012715491186145054,0.0004111155351743156,4.8608187326676495e-05
8.5,0.024052305938295857,0.0017846369536212055,0.0004316430117501408,9.592007380071289e-05
9.5,0.01512702810846612,0.0007935116196610242,0.000463129076329509,5.585669302452013e-05
10.5,0.012393719154253134,0.0004440285331150326,0.0005100139210849442,6.341039684448932e-05
11.5,0.014508994413284978,0.000594400545004778,0.00042118626173413576,8.748371486672292e-05
12.5,0.007829487297542539,0.0006017198269562983,0.0003899339288894431,8.06063127119128e-05
13.5,0.007898764966648587,0.0008762201365320366,0.000395606234619307,5.541314966432284e-05
14.5,0.004933151553499028,0.0004527795590737528,0.0004996079349761089,9.072904726144349e-05
15.5,0.003126005157834738,0.0004534380857598195,0.000456998299694896,0.00014375333650888748
16.5,0.0030249726325795355,2.9606918684813838e-05,0.0004170723365460248,4.847181351175211e-05
17.5,0.002268573018951821,0.00037165170798181865,0.0008810675907778622,7.460515156462804e-05
18.5,0.001811687235291501,0.0002533169570297704,0.00034858548753134537,4.9512239411419315e-05
19.5,0.001636010150444401,0.0001585653413345192,0.00035842248235649,0.00010291487957526065
20.5,0.0009629003205059973,0.0002319593501634095,0.00038541229670375284,1.1818066255271776e-05
21.5,0.0007657210990408078,8.401516633052566e-05,0.0004102747392255721,0.00012342220035767255
22.5,0.00104488729638666,6.884642965865712e-05,0.0004849685107356192,0.00010132427194792969
23.5,0.0008947958388659225,3.580547722568588e-05,0.0011038664058656555,0.00011093707866362432
24.5,0.0010293217321786846,8.058214493587904e-05,0.000608975761879535,6.23995641843749e-05
25.5,0.0006432419056041394,5.191366924594106e-05,0.0006663427386045602,0.0001551972682018365
26.5,0.000995934943512539,0.0002789502301919932,0.0004951968231693603,9.124982899949048e-05
27.5,0.00039288277813190537,9.184338369469895e-05,0.0007606306554919515,4.859304241754973e-05
28.5,0.0007784606230082822,0.00019453843541775644,0.0005468407302573517,2.3679585768403406e-05
29.5,0.00047683083773350857,2.9985864059518337e-05,0.00032376111793990344,7.489181077642093e-05
30.5,0.000485811664714825,5.496986040667681e-05,0.0006293890196642283,0.00010068988190660652
31.5,0.00041827180945114186,8.117452374452241e-05,0.0005101625143942631,4.800673668396935e-05
32.5,0.00036833638694261367,6.849337647350856e-05,0.0005930587543269472,8.795463792037884e-05
33.5,0.0003774850153658815,2.8662792133644314e-05,0.000275500860470221,8.88523880843391e-05
34.5,0.0005056105356696376,4.353769263090942e-05,0.0005203691432866097,8.288830851956727e-05
35.5,0.0003945752346333947,5.808029098034847e-05,0.00028142328732374335,4.7875862024014776e-05
36.5,0.0005319991993989827,0.00013818041087337206,0.0002811134097283131,2.7571817377148835e-05
37.5,0.0003089851314190522,9.99015392125745e-05,0.000276452176797906,0.0001320524119390836
38.5,0.000504632521583104,0.00012798596108793005,0.0003281595387698597,2.5419667725100105e-05
39.5,0.0004557255260498594,6.723034638430987e-05,0.00030157743142017614,6.002773685938374e-05
40.5,0.00021952975182713778,5.417017176543399e-05,0.00041047409644206075,0.00012678885544470454
41.5,0.0003149994886554054,7.993911670200683e-05,0.00020822813988367742,4.400947187140736e-05
42.5,0.00024197029880479836,6.0376227531084407e-05,0.000317494438972764,3.4728975303274737e-05
43.5,0.00018733776895054106,3.282190554974764e-05,0.00038469471211074335,7.92431773354252e-05
44.5,0.00013093499776855547,3.514010245915403e-05,0.00018704653359880494,5.979978775816219e-05
45.5,0.0001576088514930534,3.657215410195261e-05,0.00013031200304143263,1.0108713229184272e-05
46.5,0.00011901649560745068,7.467921807027678e-05,0.00016103341753281202,5.2359752554944296e-05
47.5,0.0004586523920678602,0.0001290804266231744,0.00021818834606455607,8.435554388889628e-05
48.5,0.0001424566749952199,2.097983305982236e-05,0.0005203691432866097,8.288830851956727e-05
49.5,0.00019760341833711893,8.043340560492156e-05,0.0002449190467235585,7.12837012953269e-05
