Base index shifted,GC_3#TOP,GC_3#BOT
-132.5,20,13
-131.5,16,17
-130.5,16,7
-129.5,16,12
-128.5,20,13
-127.5,16,18
-126.5,16,7
-125.5,8,8
-124.5,22,15
-123.5,26,10
-122.5,10,6
-121.5,10,4
-120.5,19,3
-119.5,13,4
-118.5,12,3
-117.5,9,4
-116.5,19,4
-115.5,7,8
-114.5,7,6
-113.5,22,3
-112.5,25,3
-111.5,11,18
-110.5,13,8
-109.5,6,4
-108.5,8,3
-107.5,10,5
-106.5,13,10
-105.5,14,4
-104.5,13,3
-103.5,8,4
-102.5,9,5
-101.5,5,2
-100.5,5,10
-99.5,3,2
-98.5,7,4
-97.5,0,10
-96.5,12,1
-95.5,7,8
-94.5,7,3
-93.5,5,7
-92.5,12,5
-91.5,9,4
-90.5,8,0
-89.5,7,4
-88.5,4,2
-87.5,6,1
-86.5,5,3
-85.5,3,7
-84.5,0,4
-83.5,1,0
-82.5,4,2
-81.5,2,1
-80.5,11,1
-79.5,2,4
-78.5,0,2
-77.5,3,1
-76.5,6,5
-75.5,3,1
-74.5,6,0
-73.5,0,1
-72.5,1,1
-71.5,0,3
-70.5,2,0
-69.5,2,5
-68.5,0,2
-67.5,2,2
-66.5,4,1
-65.5,5,2
-64.5,3,3
-63.5,1,5
-62.5,3,2
-61.5,0,3
-60.5,4,4
-59.5,0,7
-58.5,0,3
-57.5,6,5
-56.5,1,5
-55.5,6,4
-54.5,3,2
-53.5,1,11
-52.5,4,2
-51.5,2,4
-50.5,4,3
-49.5,8,3
-48.5,3,8
-47.5,5,8
-46.5,6,4
-45.5,4,3
-44.5,5,3
-43.5,6,3
-42.5,10,4
-41.5,1,2
-40.5,10,4
-39.5,7,7
-38.5,9,3
-37.5,4,6
-36.5,12,6
-35.5,4,7
-34.5,10,6
-33.5,14,3
-32.5,13,7
-31.5,9,10
-30.5,16,3
-29.5,29,2
-28.5,41,17
-27.5,25,9
-26.5,28,4
-25.5,49,9
-24.5,41,11
-23.5,29,7
-22.5,47,6
-21.5,19,5
-20.5,123,9
-19.5,56,14
-18.5,55,5
-17.5,51,9
-16.5,28,17
-15.5,134,9
-14.5,87,9
-13.5,146,15
-12.5,227,12
-11.5,118,16
-10.5,325,6
-9.5,840,17
-8.5,156,16
-7.5,131,17
-6.5,781,25
-5.5,1501,14
-4.5,1277,17
-3.5,2048,23
-2.5,2143,15
-1.5,1585,26
-0.5,1944,43
0.5,2268,57115
1.5,1663,97
2.5,3717,48
3.5,3084,68
4.5,1577,46
5.5,2841,40
6.5,1175,17
7.5,1487,44
8.5,1086,52
9.5,678,56
10.5,618,26
11.5,760,27
12.5,378,44
13.5,326,26
14.5,279,63
15.5,112,16
16.5,136,60
17.5,104,30
18.5,48,15
19.5,67,2
20.5,36,26
21.5,37,26
22.5,39,17
23.5,44,27
24.5,37,24
25.5,24,22
26.5,48,22
27.5,18,3
28.5,31,15
29.5,18,12
30.5,23,15
31.5,15,17
32.5,16,14
33.5,19,8
34.5,20,5
35.5,9,9
36.5,12,5
37.5,16,5
38.5,17,10
39.5,12,3
40.5,9,2
41.5,10,3
42.5,13,11
43.5,8,10
44.5,4,6
45.5,9,4
46.5,5,9
47.5,22,9
48.5,5,14
49.5,7,9
50.5,16,4
51.5,11,5
52.5,4,7
53.5,7,2
54.5,4,4
55.5,3,10
56.5,0,16
57.5,3,0
58.5,4,6
59.5,3,10
60.5,0,9
61.5,2,7
62.5,6,11
63.5,2,6
64.5,1,11
65.5,7,8
66.5,2,6
67.5,4,5
68.5,3,3
69.5,1,8
70.5,3,6
71.5,6,5
72.5,6,14
73.5,6,8
74.5,3,12
75.5,6,6
76.5,4,5
77.5,4,4
78.5,8,5
79.5,0,10
80.5,2,0
81.5,10,9
82.5,3,5
83.5,0,9
84.5,5,6
85.5,0,6
86.5,3,6
87.5,1,5
88.5,15,5
89.5,2,2
90.5,2,4
91.5,2,6
92.5,7,7
93.5,6,13
94.5,4,5
95.5,6,8
96.5,4,6
97.5,6,14
98.5,4,6
99.5,5,13
100.5,8,19
101.5,2,5
102.5,5,14
103.5,7,4
104.5,8,7
105.5,2,8
106.5,8,3
107.5,6,11
108.5,2,35
109.5,4,5
110.5,5,9
111.5,7,15
112.5,4,10
113.5,2,8
114.5,2,7
115.5,6,18
116.5,4,19
117.5,5,4
118.5,9,20
119.5,7,13
120.5,12,7
121.5,4,9
122.5,6,9
123.5,7,11
124.5,5,3
125.5,4,16
126.5,10,18
127.5,9,22
128.5,9,17
129.5,8,23
130.5,7,18
131.5,6,17
132.5,12,15
133.5,5,13
134.5,8,19
135.5,20,20
136.5,17,28
137.5,9,22
138.5,14,22
139.5,14,17
140.5,11,17
141.5,9,13
142.5,17,14
143.5,10,20
144.5,15,22
145.5,10,24
146.5,31,12
147.5,17,18
148.5,19,20
149.5,15,22
150.5,14,21
151.5,28,21
152.5,12,20
153.5,14,21
154.5,19,9
155.5,24,20
156.5,34,16
157.5,27,26
158.5,19,23
159.5,22,24
160.5,21,25
161.5,21,20
162.5,10,7
163.5,12,19
164.5,14,19
165.5,31,18
166.5,23,33
167.5,46,16
168.5,30,12
169.5,13,18
170.5,19,16
171.5,24,12
172.5,45,12
173.5,21,11
174.5,27,28
175.5,22,24
176.5,31,7
177.5,25,10
178.5,36,17
179.5,70,21
180.5,23,18
181.5,39,7
182.5,38,27
183.5,31,22
184.5,29,29
185.5,29,15
186.5,21,17
187.5,42,18
188.5,29,15
189.5,42,15
190.5,63,10
191.5,40,12
192.5,33,11
193.5,70,15
194.5,37,31
195.5,25,18
196.5,35,13
197.5,48,11
198.5,36,7
199.5,56,14
200.5,57,17
201.5,46,14
202.5,69,5
203.5,39,12
204.5,84,8
205.5,38,12
206.5,42,10
207.5,30,10
208.5,44,12
209.5,38,15
210.5,57,13
211.5,29,12
212.5,44,12
213.5,24,21
214.5,30,7
215.5,27,17
216.5,43,15
217.5,35,4
218.5,29,5
219.5,27,6
220.5,33,8
221.5,41,5
222.5,35,3
223.5,42,5
224.5,32,1
225.5,25,4
226.5,23,1
227.5,18,1
228.5,25,1
229.5,38,1
230.5,10,6
231.5,8,9
232.5,14,1
233.5,12,2
234.5,12,2
235.5,30,7
236.5,12,0
237.5,16,0
238.5,4,1
239.5,14,6
240.5,9,2
241.5,5,0
242.5,7,1
243.5,9,1
244.5,11,4
245.5,5,3
246.5,19,1
247.5,1,1
248.5,3,7
249.5,2,0
250.5,3,0
251.5,0,1
252.5,10,1
253.5,8,1
254.5,6,1
255.5,3,3
256.5,5,0
257.5,13,1
258.5,1,0
259.5,3,0
260.5,1,0
262.5,2,1
263.5,3,0
264.5,1,0
265.5,3,3
266.5,5,1
267.5,1,0
268.5,1,0
269.5,0,1
270.5,1,0
271.5,0,1
272.5,5,1
273.5,1,0
274.5,2,1
275.5,3,1
277.5,0,1
