Base index,AT_2#TOP,AT_2#BOT
319,35,1
320,25,2
321,41,2
322,50,1
323,42,5
324,76,2
325,52,2
326,55,0
327,69,2
328,79,2
329,98,1
330,108,5
331,100,3
332,156,4
333,156,4
334,155,1
335,145,1
336,174,7
337,247,4
338,318,1
339,453,5
340,853,7
341,765,5
342,843,8
343,1647,5
344,1192,5
345,1401,3
346,1679,7
347,2602,7
348,2136,7
349,1938,14
350,1914,14
351,2273,18
352,2159,28
353,2330,61696
354,1927,251
355,3928,55
356,2971,53
357,1696,24
358,2746,45
359,1292,31
360,1359,26
361,1051,21
362,759,29
363,585,33
364,697,27
365,342,24
366,329,27
367,223,35
368,160,27
369,145,30
370,116,61
371,78,22
372,78,18
373,40,24
374,36,22
375,50,26
376,44,62
377,53,35
378,30,31
379,51,38
380,17,45
381,37,35
382,24,21
383,24,39
384,24,33
385,20,33
386,17,20
387,23,35
388,17,15
389,32,16
390,10,27
391,31,19
392,19,16
393,10,18
394,19,10
395,11,18
396,9,22
397,5,8
398,8,9
399,4,7
400,15,8
401,7,35
402,5,11
403,9,7
404,9,13
405,21,7
406,6,9
407,0,6
408,7,12
409,3,19
410,4,10
411,3,18
412,2,12
413,4,11
414,2,9
415,6,23
416,5,14
417,5,19
418,7,7
419,4,16
420,3,10
421,4,10
422,3,17
423,5,7
424,3,5
425,10,13
426,10,7
427,3,24
428,6,17
429,2,8
430,1,4
431,8,13
432,6,11
433,2,3
434,3,6
435,6,11
436,5,6
437,6,8
438,1,14
439,3,6
440,7,9
441,14,11
442,2,10
443,6,8
444,1,11
445,9,16
446,3,27
447,6,7
448,1,9
449,1,10
450,3,15
451,7,11
452,6,19
453,15,19
454,6,10
455,13,17
456,6,13
457,11,12
458,4,17
459,7,12
460,5,16
461,8,46
462,13,24
463,8,13
464,13,19
465,11,23
466,3,12
467,6,22
468,12,35
469,6,23
470,6,19
471,18,25
472,6,24
473,26,20
474,12,23
475,11,23
476,9,31
477,10,23
478,11,33
479,19,42
480,9,31
481,15,28
482,11,45
483,14,59
484,22,64
485,38,60
486,18,24
487,26,51
488,35,64
489,22,62
490,18,70
491,11,59
492,22,39
493,18,25
494,23,42
495,19,51
496,17,48
497,20,71
498,21,62
499,47,55
500,29,39
501,35,64
502,30,80
503,24,66
504,46,45
505,33,50
506,37,53
507,23,21
508,34,43
509,38,45
510,48,50
511,49,59
512,31,39
513,44,61
514,40,51
515,34,55
516,34,42
517,29,65
518,40,49
519,36,69
520,72,35
521,43,27
522,29,41
523,55,59
524,42,44
525,48,38
526,50,35
527,29,99
528,43,54
529,64,30
530,39,58
531,67,61
532,81,66
533,59,44
534,57,30
535,59,57
536,43,73
537,39,53
538,60,45
539,35,33
540,38,52
541,48,38
542,54,46
543,56,26
544,58,30
545,47,32
546,75,34
547,48,53
548,34,33
549,32,31
550,37,29
551,43,20
552,74,35
553,66,24
554,51,27
555,72,22
556,41,26
557,54,22
558,49,32
559,58,24
560,43,16
561,45,27
562,30,31
563,59,32
564,38,28
565,57,23
566,31,37
567,26,17
568,36,39
569,32,17
570,23,15
571,39,10
572,31,15
573,41,22
574,42,16
575,50,13
576,41,9
577,42,5
578,31,10
579,21,8
580,28,3
581,25,10
582,35,7
583,13,6
584,9,9
585,13,6
586,20,5
587,14,4
588,19,8
589,20,4
590,9,5
591,10,2
592,5,3
593,21,1
594,7,3
595,4,3
596,7,1
597,8,3
598,8,5
599,14,1
600,7,3
601,5,1
602,7,1
603,4,2
604,1,4
605,5,0
606,3,1
607,4,3
608,6,3
609,6,1
610,5,3
611,5,1
612,11,1
613,3,0
614,5,1
615,3,0
616,4,1
617,4,0
618,5,1
619,1,0
620,1,3
621,1,0
622,3,1
623,3,1
624,1,1
625,2,1
626,9,3
627,3,0
628,5,1
629,1,0
