Base index shifted,AT_1#TOP,AT_1#BOT
11.5,948,33
12.5,544,31
13.5,564,28
14.5,373,36
15.5,178,40
16.5,208,25
17.5,126,53
18.5,116,26
19.5,101,31
20.5,56,26
21.5,47,36
22.5,76,29
23.5,62,77
24.5,65,44
25.5,41,48
26.5,47,30
27.5,34,50
28.5,40,37
29.5,33,16
30.5,29,48
31.5,28,36
32.5,27,45
33.5,25,22
34.5,38,38
35.5,25,18
36.5,27,20
37.5,28,15
38.5,31,22
39.5,30,24
40.5,19,35
41.5,21,15
42.5,21,23
43.5,15,31
44.5,8,16
45.5,8,8
46.5,14,14
47.5,34,19
48.5,11,38
49.5,17,16
50.5,21,16
51.5,14,12
52.5,18,14
53.5,13,14
54.5,6,7
55.5,14,22
56.5,3,22
57.5,5,16
58.5,6,27
59.5,5,25
60.5,3,13
61.5,5,16
62.5,3,23
63.5,8,15
64.5,4,13
65.5,5,11
66.5,8,13
67.5,3,13
68.5,12,11
69.5,4,23
70.5,3,12
71.5,5,9
72.5,12,16
73.5,12,16
74.5,1,10
75.5,7,16
76.5,4,16
77.5,2,6
78.5,10,15
79.5,7,12
80.5,1,3
81.5,8,5
82.5,7,9
83.5,5,4
84.5,6,13
85.5,6,14
86.5,1,14
87.5,5,6
88.5,24,12
89.5,5,14
90.5,9,6
91.5,3,9
92.5,10,10
93.5,5,20
94.5,4,14
95.5,9,19
96.5,8,11
97.5,9,15
98.5,8,15
99.5,10,15
100.5,6,19
101.5,5,13
102.5,5,14
103.5,8,13
104.5,14,19
105.5,8,16
106.5,8,9
107.5,13,19
108.5,10,25
109.5,11,18
110.5,7,15
111.5,5,20
112.5,13,14
113.5,8,18
114.5,12,13
115.5,14,28
116.5,9,20
117.5,4,21
118.5,11,26
119.5,6,18
120.5,20,11
121.5,13,19
122.5,10,21
123.5,16,15
124.5,12,16
125.5,21,30
126.5,12,25
127.5,15,38
128.5,10,26
129.5,10,44
130.5,19,50
131.5,19,48
132.5,27,48
133.5,18,14
134.5,18,55
135.5,19,48
136.5,24,42
137.5,10,49
138.5,13,55
139.5,15,40
140.5,17,19
141.5,18,38
142.5,18,39
143.5,19,41
144.5,16,44
145.5,15,47
146.5,43,35
147.5,20,23
148.5,27,44
149.5,22,53
150.5,20,47
151.5,31,35
152.5,22,30
153.5,15,44
154.5,15,23
155.5,26,48
156.5,26,37
157.5,38,54
158.5,17,67
159.5,20,30
160.5,26,36
161.5,15,40
162.5,42,27
163.5,18,28
164.5,11,25
165.5,29,29
166.5,31,45
167.5,43,20
168.5,22,27
169.5,31,34
170.5,29,35
171.5,37,23
172.5,30,16
173.5,23,26
174.5,20,67
175.5,24,23
176.5,26,14
177.5,18,32
178.5,25,41
179.5,26,26
180.5,30,16
181.5,25,12
182.5,29,48
183.5,34,47
184.5,32,45
185.5,30,29
186.5,31,25
187.5,30,33
188.5,33,20
189.5,37,33
190.5,30,16
191.5,27,19
192.5,25,28
193.5,37,19
194.5,26,27
195.5,16,14
196.5,18,20
197.5,29,19
198.5,30,13
199.5,34,24
200.5,38,28
201.5,28,14
202.5,36,14
203.5,25,12
204.5,26,15
205.5,22,18
206.5,24,11
207.5,19,9
208.5,24,15
209.5,20,16
210.5,27,15
211.5,15,8
212.5,15,9
213.5,13,13
214.5,10,11
215.5,11,11
216.5,18,10
217.5,10,15
218.5,14,6
219.5,17,5
220.5,10,4
221.5,12,6
222.5,21,6
223.5,9,12
224.5,25,1
225.5,9,2
226.5,4,3
227.5,10,1
228.5,5,5
229.5,9,2
230.5,3,3
231.5,6,6
232.5,2,1
233.5,6,2
234.5,5,4
235.5,9,3
236.5,7,2
237.5,6,1
238.5,6,0
239.5,5,4
240.5,5,5
241.5,3,0
242.5,5,0
243.5,1,1
244.5,3,6
245.5,5,0
246.5,7,1
247.5,2,2
248.5,3,2
249.5,2,1
250.5,0,3
251.5,0,3
252.5,2,1
253.5,3,1
254.5,2,1
255.5,2,1
256.5,1,0
257.5,2,1
258.5,0,1
259.5,5,0
260.5,3,0
261.5,1,0
262.5,1,0
263.5,1,1
264.5,3,0
266.5,3,0
267.5,0,2
270.5,1,0
272.5,1,0
273.5,3,0
274.5,5,0
275.5,1,0
276.5,1,0
