Base index shifted,GC_2#TOP,GC_2#BOT
98.5,3,7
99.5,9,9
100.5,3,14
101.5,6,7
102.5,5,16
103.5,6,5
104.5,9,4
105.5,6,5
106.5,4,5
107.5,8,9
108.5,3,33
109.5,7,8
110.5,9,12
111.5,7,9
112.5,4,6
113.5,3,9
114.5,6,4
115.5,8,18
116.5,2,7
117.5,2,8
118.5,1,16
119.5,2,9
120.5,17,4
121.5,7,8
122.5,6,5
123.5,12,10
124.5,8,10
125.5,8,10
126.5,13,16
127.5,5,13
128.5,5,8
129.5,4,22
130.5,9,27
131.5,7,21
132.5,19,21
133.5,5,11
134.5,10,17
135.5,25,18
136.5,19,17
137.5,8,20
138.5,12,14
139.5,25,25
140.5,16,12
141.5,10,12
142.5,10,16
143.5,12,17
144.5,13,18
145.5,7,19
146.5,30,14
147.5,18,11
148.5,14,13
149.5,12,19
150.5,13,24
151.5,31,27
152.5,15,16
153.5,16,14
154.5,19,4
155.5,14,19
156.5,35,16
157.5,24,19
158.5,24,23
159.5,20,13
160.5,27,24
161.5,26,18
162.5,17,14
163.5,21,19
164.5,11,12
165.5,19,4
166.5,30,48
167.5,49,11
168.5,18,6
169.5,23,11
170.5,41,12
171.5,23,9
172.5,37,9
173.5,26,6
174.5,22,34
175.5,24,21
176.5,26,3
177.5,25,8
178.5,30,9
179.5,57,21
180.5,33,11
181.5,28,0
182.5,30,17
183.5,40,16
184.5,23,33
185.5,23,11
186.5,21,7
187.5,18,17
188.5,24,7
189.5,32,14
190.5,38,11
191.5,28,2
192.5,35,9
193.5,44,9
194.5,14,16
195.5,33,7
196.5,24,2
197.5,26,8
198.5,30,5
199.5,55,7
200.5,46,5
201.5,24,14
202.5,30,7
203.5,36,5
204.5,48,8
205.5,23,10
206.5,26,13
207.5,17,4
208.5,25,5
209.5,15,8
210.5,33,6
211.5,17,10
212.5,38,5
213.5,20,12
214.5,22,8
215.5,21,10
216.5,26,9
217.5,14,9
218.5,33,6
219.5,19,4
220.5,31,5
221.5,33,3
222.5,28,1
223.5,17,6
224.5,31,1
225.5,18,3
226.5,11,1
227.5,13,0
228.5,9,3
229.5,29,4
230.5,7,2
231.5,7,4
232.5,8,4
233.5,17,2
234.5,19,1
235.5,21,7
236.5,15,2
237.5,11,1
238.5,11,1
239.5,9,5
240.5,7,0
241.5,9,0
242.5,4,3
243.5,10,3
244.5,8,6
245.5,3,0
246.5,21,4
247.5,5,2
248.5,1,3
249.5,2,2
250.5,2,0
251.5,1,2
252.5,5,0
253.5,6,0
254.5,6,3
255.5,4,1
256.5,5,1
257.5,17,0
258.5,8,1
259.5,3,1
260.5,1,0
261.5,1,0
262.5,4,0
263.5,2,0
264.5,6,2
265.5,4,1
266.5,11,0
267.5,1,2
268.5,6,0
270.5,0,1
271.5,1,2
272.5,7,0
273.5,2,0
274.5,3,0
275.5,3,1
276.5,3,1
277.5,3,1
