Base index shifted,GC_1#TOP,GC_1#BOT
-169.5,13,5
-168.5,12,6
-167.5,26,5
-166.5,24,4
-165.5,21,13
-164.5,8,9
-163.5,25,11
-162.5,12,2
-161.5,17,5
-160.5,25,8
-159.5,5,6
-158.5,15,7
-157.5,6,10
-156.5,25,6
-155.5,7,15
-154.5,25,10
-153.5,23,16
-152.5,12,4
-151.5,11,3
-150.5,9,8
-149.5,16,11
-148.5,9,9
-147.5,20,8
-146.5,13,5
-145.5,8,7
-144.5,11,7
-143.5,21,6
-142.5,9,6
-141.5,9,4
-140.5,19,3
-139.5,11,8
-138.5,10,11
-137.5,7,19
-136.5,17,19
-135.5,9,12
-134.5,13,10
-133.5,17,12
-132.5,6,12
-131.5,9,6
-130.5,8,10
-129.5,10,5
-128.5,9,7
-127.5,9,6
-126.5,13,4
-125.5,4,3
-124.5,4,15
-123.5,8,13
-122.5,7,7
-121.5,2,5
-120.5,6,5
-119.5,7,5
-118.5,4,7
-117.5,7,3
-116.5,10,2
-115.5,7,5
-114.5,2,1
-113.5,6,3
-112.5,6,1
-111.5,7,4
-110.5,7,5
-109.5,6,2
-108.5,5,1
-107.5,1,2
-106.5,8,4
-105.5,5,0
-104.5,7,4
-103.5,6,1
-102.5,8,1
-101.5,5,8
-100.5,5,5
-99.5,4,5
-98.5,8,3
-97.5,1,2
-96.5,6,3
-95.5,4,6
-94.5,5,3
-93.5,3,3
-92.5,11,6
-91.5,3,3
-90.5,3,1
-89.5,3,4
-88.5,2,5
-87.5,6,4
-86.5,1,2
-85.5,8,4
-84.5,2,1
-83.5,3,1
-82.5,4,3
-81.5,2,2
-80.5,2,5
-79.5,1,6
-78.5,1,2
-77.5,2,2
-76.5,5,0
-75.5,2,5
-74.5,3,4
-73.5,3,2
-72.5,2,2
-71.5,2,2
-70.5,0,5
-69.5,1,4
-68.5,2,4
-67.5,3,6
-66.5,2,2
-65.5,3,2
-64.5,3,0
-63.5,3,5
-62.5,2,1
-61.5,4,1
-60.5,5,7
-59.5,2,9
-58.5,3,7
-57.5,3,1
-56.5,6,2
-55.5,4,8
-54.5,2,5
-53.5,5,3
-52.5,6,4
-51.5,8,7
-50.5,0,10
-49.5,4,7
-48.5,4,10
-47.5,5,2
-46.5,6,2
-45.5,3,9
-44.5,5,5
-43.5,7,10
-42.5,16,8
-41.5,4,5
-40.5,11,4
-39.5,6,5
-38.5,7,4
-37.5,8,5
-36.5,7,4
-35.5,10,10
-34.5,4,8
-33.5,16,6
-32.5,10,5
-31.5,11,6
-30.5,28,5
-29.5,25,4
-28.5,33,9
-27.5,38,6
-26.5,30,6
-25.5,50,14
-24.5,35,10
-23.5,38,8
-22.5,32,12
-21.5,21,10
-20.5,106,7
-19.5,53,11
-18.5,54,4
-17.5,63,15
-16.5,30,15
-15.5,155,13
-14.5,97,11
-13.5,118,11
-12.5,220,9
-11.5,104,10
-10.5,308,14
-9.5,663,23
-8.5,144,12
-7.5,67,13
-6.5,647,25
-5.5,1256,17
-4.5,980,11
-3.5,1578,11
-2.5,1529,15
-1.5,1188,26
-0.5,1425,26
0.5,1665,44767
1.5,1280,78
2.5,2961,48
3.5,2473,49
4.5,1240,47
5.5,2189,25
6.5,897,14
7.5,1088,39
8.5,780,50
9.5,550,46
10.5,551,45
11.5,591,29
12.5,321,33
13.5,287,25
14.5,198,32
15.5,125,17
16.5,110,34
17.5,79,19
18.5,54,12
19.5,46,5
20.5,39,18
21.5,39,13
22.5,35,10
23.5,41,23
24.5,29,13
25.5,20,17
26.5,55,5
27.5,12,9
28.5,35,9
29.5,13,8
30.5,33,5
31.5,11,9
32.5,19,5
33.5,11,3
34.5,18,5
35.5,20,4
36.5,9,3
37.5,5,1
38.5,23,9
39.5,22,2
40.5,7,8
41.5,6,2
42.5,11,5
43.5,7,5
44.5,3,4
45.5,8,1
46.5,5,1
47.5,25,7
48.5,6,12
49.5,6,3
50.5,10,2
51.5,9,7
52.5,4,2
53.5,3,1
54.5,4,1
55.5,7,1
56.5,0,8
57.5,2,1
58.5,5,3
59.5,6,14
60.5,2,2
61.5,2,3
62.5,7,7
63.5,0,1
64.5,2,6
65.5,1,2
66.5,5,4
67.5,2,5
68.5,2,8
69.5,2,4
70.5,0,5
71.5,4,2
72.5,4,0
73.5,2,4
74.5,3,15
75.5,3,2
76.5,3,1
77.5,2,1
78.5,9,2
79.5,2,4
80.5,1,2
81.5,6,1
82.5,2,3
83.5,3,0
84.5,4,4
85.5,2,6
86.5,2,4
87.5,5,3
88.5,17,2
89.5,1,2
90.5,4,7
91.5,0,2
92.5,2,4
93.5,4,13
94.5,8,3
95.5,7,1
96.5,2,1
97.5,2,4
98.5,3,3
99.5,4,4
100.5,7,5
101.5,1,8
102.5,1,4
103.5,3,5
104.5,3,2
105.5,2,2
106.5,3,1
107.5,3,7
108.5,2,23
109.5,4,3
110.5,1,3
111.5,1,2
112.5,2,6
113.5,5,2
114.5,4,2
115.5,1,7
116.5,2,5
117.5,2,1
118.5,2,6
119.5,0,3
120.5,14,3
121.5,4,5
122.5,4,1
123.5,6,3
124.5,4,2
125.5,7,3
126.5,5,6
127.5,6,8
128.5,6,2
129.5,3,13
130.5,8,5
131.5,8,6
132.5,11,8
133.5,8,4
134.5,9,9
135.5,17,9
136.5,14,7
137.5,3,2
138.5,10,2
139.5,16,6
140.5,13,1
141.5,9,8
142.5,12,6
143.5,6,4
144.5,8,5
145.5,6,8
146.5,19,5
147.5,5,4
148.5,1,8
149.5,8,17
150.5,16,14
151.5,18,7
152.5,15,4
153.5,7,8
154.5,6,3
155.5,15,9
156.5,24,4
157.5,19,2
158.5,9,8
159.5,13,9
160.5,15,19
161.5,7,9
162.5,7,7
163.5,14,7
164.5,13,4
165.5,16,6
166.5,12,26
167.5,24,3
168.5,24,3
169.5,12,3
170.5,19,12
171.5,15,5
172.5,32,3
173.5,16,3
174.5,11,15
175.5,8,13
176.5,17,7
177.5,11,3
178.5,21,2
179.5,34,13
180.5,16,10
181.5,16,2
182.5,15,9
183.5,12,11
184.5,17,23
185.5,15,10
186.5,12,6
187.5,19,7
188.5,16,5
189.5,18,8
190.5,20,4
191.5,27,2
192.5,18,6
193.5,33,3
194.5,19,9
195.5,11,5
196.5,17,4
197.5,16,16
198.5,9,3
199.5,32,3
200.5,29,11
201.5,11,5
202.5,34,5
203.5,12,1
204.5,28,3
205.5,29,6
206.5,16,4
207.5,12,6
208.5,18,7
209.5,18,6
210.5,20,13
211.5,14,3
212.5,25,3
213.5,19,9
214.5,10,6
215.5,16,9
216.5,20,5
217.5,11,3
218.5,10,7
219.5,11,6
220.5,24,5
221.5,26,3
222.5,16,2
223.5,17,5
224.5,17,2
225.5,16,3
226.5,9,0
227.5,12,1
228.5,10,2
229.5,13,0
230.5,2,1
231.5,3,0
232.5,8,1
233.5,10,1
234.5,3,0
235.5,23,3
236.5,13,1
237.5,9,1
238.5,4,1
239.5,5,5
240.5,6,0
241.5,5,1
242.5,5,1
243.5,1,0
244.5,11,4
245.5,4,0
246.5,8,2
247.5,3,0
248.5,4,0
249.5,2,0
250.5,0,2
252.5,3,1
253.5,4,0
254.5,2,1
255.5,3,2
256.5,5,2
257.5,13,2
258.5,3,1
259.5,3,1
260.5,1,1
261.5,3,0
262.5,1,0
263.5,3,3
264.5,3,1
265.5,1,3
266.5,4,0
267.5,4,0
268.5,1,0
270.5,2,0
271.5,1,1
272.5,4,1
273.5,1,0
274.5,1,1
275.5,5,0
276.5,2,0
277.5,1,1
