Base index,GC_3#TOP,GC_3#BOT
270,4,2
271,2,1
272,11,1
273,2,4
274,0,2
275,3,1
276,6,5
277,3,1
278,6,0
279,0,1
280,1,1
281,0,3
282,2,0
283,2,5
284,0,2
285,2,2
286,4,1
287,5,2
288,3,3
289,1,5
290,3,2
291,0,3
292,4,4
293,0,7
294,0,3
295,6,5
296,1,5
297,6,4
298,3,2
299,1,11
300,4,2
301,2,4
302,4,3
303,8,3
304,3,8
305,5,8
306,6,4
307,4,3
308,5,3
309,6,3
310,10,4
311,1,2
312,10,4
313,7,7
314,9,3
315,4,6
316,12,6
317,4,7
318,10,6
319,14,3
320,13,7
321,9,10
322,16,3
323,29,2
324,41,17
325,25,9
326,28,4
327,49,9
328,41,11
329,29,7
330,47,6
331,19,5
332,123,9
333,56,14
334,55,5
335,51,9
336,28,17
337,134,9
338,87,9
339,146,15
340,227,12
341,118,16
342,325,6
343,840,17
344,156,16
345,131,17
346,781,25
347,1501,14
348,1277,17
349,2048,23
350,2143,15
351,1585,26
352,1944,43
353,2268,57115
354,1663,97
355,3717,48
356,3084,68
357,1577,46
358,2841,40
359,1175,17
360,1487,44
361,1086,52
362,678,56
363,618,26
364,760,27
365,378,44
366,326,26
367,279,63
368,112,16
369,136,60
370,104,30
371,48,15
372,67,2
373,36,26
374,37,26
375,39,17
376,44,27
377,37,24
378,24,22
379,48,22
380,18,3
381,31,15
382,18,12
383,23,15
384,15,17
385,16,14
386,19,8
387,20,5
388,9,9
389,12,5
390,16,5
391,17,10
392,12,3
393,9,2
394,10,3
395,13,11
396,8,10
397,4,6
398,9,4
399,5,9
400,22,9
401,5,14
402,7,9
403,16,4
404,11,5
405,4,7
406,7,2
407,4,4
408,3,10
409,0,16
410,3,0
411,4,6
412,3,10
413,0,9
414,2,7
415,6,11
416,2,6
417,1,11
418,7,8
419,2,6
420,4,5
421,3,3
422,1,8
423,3,6
424,6,5
425,6,14
426,6,8
427,3,12
428,6,6
429,4,5
430,4,4
431,8,5
432,0,10
433,2,0
434,10,9
435,3,5
436,0,9
437,5,6
438,0,6
439,3,6
440,1,5
441,15,5
442,2,2
443,2,4
444,2,6
445,7,7
446,6,13
447,4,5
448,6,8
449,4,6
450,6,14
451,4,6
452,5,13
453,8,19
454,2,5
455,5,14
456,7,4
457,8,7
458,2,8
459,8,3
460,6,11
461,2,35
462,4,5
463,5,9
464,7,15
465,4,10
466,2,8
467,2,7
468,6,18
469,4,19
470,5,4
471,9,20
472,7,13
473,12,7
474,4,9
475,6,9
476,7,11
477,5,3
478,4,16
479,10,18
480,9,22
481,9,17
482,8,23
483,7,18
484,6,17
485,12,15
486,5,13
487,8,19
488,20,20
489,17,28
490,9,22
491,14,22
492,14,17
493,11,17
494,9,13
495,17,14
496,10,20
497,15,22
498,10,24
499,31,12
500,17,18
501,19,20
502,15,22
503,14,21
504,28,21
505,12,20
506,14,21
507,19,9
508,24,20
509,34,16
510,27,26
511,19,23
512,22,24
513,21,25
514,21,20
515,10,7
516,12,19
517,14,19
518,31,18
519,23,33
520,46,16
521,30,12
522,13,18
523,19,16
524,24,12
525,45,12
526,21,11
527,27,28
528,22,24
529,31,7
530,25,10
531,36,17
532,70,21
533,23,18
534,39,7
535,38,27
536,31,22
537,29,29
538,29,15
539,21,17
540,42,18
541,29,15
542,42,15
543,63,10
544,40,12
545,33,11
546,70,15
547,37,31
548,25,18
549,35,13
550,48,11
551,36,7
552,56,14
553,57,17
554,46,14
555,69,5
556,39,12
557,84,8
558,38,12
559,42,10
560,30,10
561,44,12
562,38,15
563,57,13
564,29,12
565,44,12
566,24,21
567,30,7
568,27,17
569,43,15
570,35,4
571,29,5
572,27,6
573,33,8
574,41,5
575,35,3
576,42,5
577,32,1
578,25,4
579,23,1
580,18,1
581,25,1
582,38,1
583,10,6
584,8,9
585,14,1
586,12,2
587,12,2
588,30,7
589,12,0
590,16,0
591,4,1
592,14,6
593,9,2
594,5,0
595,7,1
596,9,1
597,11,4
598,5,3
599,19,1
600,1,1
601,3,7
602,2,0
603,3,0
604,0,1
605,10,1
606,8,1
607,6,1
608,3,3
609,5,0
610,13,1
611,1,0
612,3,0
613,1,0
615,2,1
616,3,0
617,1,0
618,3,3
619,5,1
620,1,0
621,1,0
622,0,1
623,1,0
624,0,1
625,5,1
626,1,0
627,2,1
628,3,1
630,0,1
