Base index shifted,dsDNA_1#TOP,dsDNA_1#BOT
-61.5,205,207
-60.5,292,75
-59.5,267,211
-58.5,247,248
-57.5,447,108
-56.5,242,242
-55.5,424,258
-54.5,501,159
-53.5,241,253
-52.5,316,255
-51.5,280,228
-50.5,397,281
-49.5,369,148
-48.5,109,228
-47.5,277,226
-46.5,396,165
-45.5,176,147
-44.5,245,297
-43.5,221,188
-42.5,182,134
-41.5,361,146
-40.5,134,215
-39.5,201,299
-38.5,348,111
-37.5,341,249
-36.5,239,176
-35.5,336,125
-34.5,280,225
-33.5,248,146
-32.5,272,127
-31.5,272,331
-30.5,374,224
-29.5,433,135
-28.5,188,112
-27.5,175,119
-26.5,316,263
-25.5,310,250
-24.5,156,223
-23.5,443,113
-22.5,463,91
-21.5,258,216
-20.5,388,231
-19.5,197,290
-18.5,294,280
-17.5,338,232
-16.5,363,292
-15.5,308,141
-14.5,496,271
-13.5,419,235
-12.5,420,232
-11.5,436,243
-10.5,372,241
-9.5,307,248
-8.5,231,324
-7.5,628,239
-6.5,367,180
-5.5,458,279
-4.5,361,228
-3.5,344,282
-2.5,460,261
-1.5,451,212
-0.5,443,266
0.5,331,276
1.5,406,287
2.5,454,252
3.5,263,294
4.5,491,260
5.5,445,168
6.5,192,265
7.5,288,160
8.5,348,317
9.5,343,330
10.5,317,168
11.5,334,148
12.5,345,197
13.5,538,281
14.5,237,364
15.5,546,237
16.5,301,172
17.5,294,290
18.5,252,274
19.5,142,315
20.5,431,150
21.5,310,215
22.5,484,317
23.5,570,190
24.5,121,228
25.5,327,295
26.5,489,327
27.5,301,180
28.5,513,109
29.5,302,170
30.5,320,230
31.5,494,159
32.5,363,163
33.5,299,290
34.5,261,233
35.5,454,265
36.5,409,184
37.5,180,303
38.5,376,337
39.5,347,198
40.5,200,271
41.5,290,227
42.5,319,176
43.5,339,199
44.5,303,74
45.5,225,178
46.5,225,283
47.5,356,217
48.5,326,196
49.5,402,234
50.5,349,210
51.5,295,262
52.5,271,243
53.5,203,147
54.5,230,185
55.5,354,140
56.5,563,192
57.5,188,167
58.5,393,197
59.5,403,285
60.5,228,149
61.5,308,201
62.5,430,220
63.5,196,341
64.5,364,192
65.5,217,198
66.5,204,173
67.5,275,195
68.5,321,178
69.5,224,198
70.5,304,155
71.5,426,149
72.5,166,189
73.5,368,218
74.5,435,128
75.5,326,167
76.5,209,128
77.5,290,187
78.5,319,119
79.5,201,300
80.5,335,187
81.5,125,164
82.5,270,243
83.5,217,190
84.5,353,172
85.5,318,123
86.5,349,280
87.5,258,218
88.5,298,139
89.5,363,163
90.5,296,261
91.5,157,185
92.5,219,201
93.5,270,204
94.5,182,296
95.5,521,180
96.5,268,139
97.5,296,172
98.5,344,167
99.5,556,154
100.5,177,137
101.5,250,250
102.5,185,242
103.5,132,268
104.5,448,197
105.5,167,211
106.5,189,291
107.5,324,188
108.5,263,331
109.5,433,209
110.5,272,140
111.5,270,184
112.5,334,121
113.5,664,104
114.5,513,195
115.5,539,143
116.5,369,85
117.5,444,109
118.5,165,80
119.5,210,124
120.5,444,108
121.5,255,204
122.5,161,76
123.5,241,100
124.5,354,87
125.5,305,187
126.5,420,256
127.5,440,188
128.5,407,136
129.5,240,199
130.5,535,351
131.5,427,135
132.5,325,214
133.5,367,107
134.5,95,156
135.5,463,157
136.5,365,185
137.5,516,124
138.5,516,80
139.5,431,94
140.5,230,128
141.5,130,128
142.5,400,165
143.5,244,122
144.5,354,106
145.5,427,110
146.5,374,134
147.5,192,203
148.5,106,103
149.5,290,247
150.5,281,176
151.5,139,91
152.5,86,246
153.5,332,139
154.5,122,120
155.5,53,120
156.5,237,130
157.5,158,161
158.5,348,193
159.5,225,93
160.5,121,94
161.5,252,144
162.5,173,100
163.5,136,153
164.5,85,121
165.5,124,49
166.5,206,84
167.5,216,105
168.5,85,219
169.5,221,100
170.5,211,55
171.5,82,133
172.5,87,64
173.5,67,64
174.5,280,106
175.5,279,38
176.5,238,71
177.5,47,110
178.5,140,87
179.5,147,113
180.5,128,142
181.5,73,197
182.5,35,81
183.5,197,86
184.5,188,93
185.5,119,160
186.5,81,84
187.5,158,145
188.5,422,75
189.5,86,67
190.5,222,82
191.5,137,58
192.5,41,136
193.5,147,120
194.5,80,153
195.5,353,114
196.5,134,57
197.5,182,58
198.5,59,150
199.5,73,77
200.5,132,117
201.5,141,113
202.5,64,93
203.5,138,59
204.5,157,78
205.5,118,54
206.5,44,136
207.5,245,59
208.5,43,104
209.5,100,54
210.5,66,52
211.5,324,73
212.5,137,40
213.5,180,170
214.5,177,73
215.5,177,48
216.5,90,93
217.5,109,59
218.5,74,62
219.5,115,121
220.5,60,80
221.5,120,98
222.5,50,55
223.5,52,157
224.5,55,95
225.5,32,95
226.5,180,68
227.5,117,127
228.5,29,40
229.5,155,51
230.5,159,31
231.5,69,17
232.5,43,34
233.5,32,19
234.5,162,67
235.5,93,67
236.5,108,45
237.5,42,30
238.5,33,27
239.5,56,75
240.5,105,35
241.5,60,38
242.5,27,34
243.5,64,27
244.5,35,81
245.5,81,23
246.5,53,13
247.5,43,32
248.5,52,5
249.5,29,12
250.5,61,16
251.5,87,7
252.5,105,15
253.5,122,20
254.5,68,19
255.5,28,10
256.5,34,21
257.5,31,17
258.5,7,21
259.5,20,19
260.5,12,16
261.5,19,2
262.5,31,17
263.5,23,12
264.5,11,16
265.5,21,5
266.5,24,8
267.5,7,9
268.5,23,4
269.5,12,11
270.5,15,3
271.5,6,4
272.5,7,2
273.5,7,14
274.5,4,7
275.5,3,5
276.5,0,5
277.5,3,3
