Base index shifted,dsDNA_2#TOP,dsDNA_2#BOT
-139.5,80,57
-138.5,72,50
-137.5,74,24
-136.5,65,77
-135.5,79,58
-134.5,71,100
-133.5,96,43
-132.5,46,77
-131.5,73,78
-130.5,63,76
-129.5,55,101
-128.5,100,102
-127.5,46,67
-126.5,100,75
-125.5,86,98
-124.5,92,86
-123.5,128,88
-122.5,108,60
-121.5,64,77
-120.5,101,70
-119.5,114,81
-118.5,118,102
-117.5,129,114
-116.5,108,48
-115.5,128,67
-114.5,129,103
-113.5,73,94
-112.5,137,111
-111.5,89,94
-110.5,76,139
-109.5,110,84
-108.5,47,124
-107.5,167,152
-106.5,177,109
-105.5,97,110
-104.5,143,50
-103.5,150,95
-102.5,100,139
-101.5,71,73
-100.5,104,84
-99.5,196,79
-98.5,128,70
-97.5,77,54
-96.5,98,55
-95.5,127,32
-94.5,101,50
-93.5,102,78
-92.5,97,77
-91.5,124,36
-90.5,89,54
-89.5,131,65
-88.5,157,42
-87.5,136,77
-86.5,87,46
-85.5,159,46
-84.5,188,28
-83.5,157,78
-82.5,143,74
-81.5,193,70
-80.5,212,28
-79.5,159,72
-78.5,244,54
-77.5,205,58
-76.5,171,57
-75.5,217,73
-74.5,240,60
-73.5,213,60
-72.5,149,69
-71.5,227,51
-70.5,223,38
-69.5,281,65
-68.5,172,37
-67.5,202,62
-66.5,241,49
-65.5,164,93
-64.5,192,38
-63.5,88,25
-62.5,296,59
-61.5,208,64
-60.5,274,27
-59.5,235,68
-58.5,254,69
-57.5,368,30
-56.5,250,79
-55.5,399,76
-54.5,460,47
-53.5,217,63
-52.5,224,54
-51.5,220,71
-50.5,323,76
-49.5,318,38
-48.5,136,72
-47.5,210,85
-46.5,349,55
-45.5,191,53
-44.5,247,94
-43.5,248,85
-42.5,177,47
-41.5,343,38
-40.5,164,80
-39.5,191,104
-38.5,314,46
-37.5,331,84
-36.5,244,48
-35.5,287,49
-34.5,287,79
-33.5,256,66
-32.5,321,53
-31.5,273,87
-30.5,379,66
-29.5,455,69
-28.5,174,64
-27.5,174,36
-26.5,320,75
-25.5,351,76
-24.5,173,59
-23.5,407,43
-22.5,540,38
-21.5,277,98
-20.5,445,69
-19.5,291,84
-18.5,339,100
-17.5,352,94
-16.5,418,81
-15.5,355,47
-14.5,550,86
-13.5,474,68
-12.5,472,69
-11.5,470,96
-10.5,468,94
-9.5,382,108
-8.5,299,101
-7.5,585,66
-6.5,444,48
-5.5,511,112
-4.5,461,75
-3.5,440,94
-2.5,521,83
-1.5,505,72
-0.5,592,96
0.5,422,110
1.5,463,111
2.5,502,83
3.5,315,138
4.5,562,112
5.5,537,67
6.5,298,90
7.5,379,57
8.5,380,113
9.5,438,126
10.5,436,67
11.5,431,48
12.5,437,76
13.5,596,106
14.5,299,114
15.5,624,94
16.5,345,72
17.5,360,104
18.5,311,124
19.5,171,100
20.5,502,75
21.5,415,110
22.5,596,123
23.5,649,74
24.5,232,80
25.5,433,99
26.5,592,89
27.5,389,78
28.5,644,41
29.5,393,64
30.5,451,86
31.5,656,64
32.5,404,65
33.5,416,79
34.5,372,89
35.5,629,93
36.5,574,56
37.5,263,84
38.5,512,104
39.5,439,75
40.5,268,95
41.5,415,82
42.5,483,74
43.5,525,75
44.5,487,56
45.5,392,64
46.5,356,88
47.5,527,66
48.5,435,63
49.5,568,96
50.5,472,93
51.5,389,110
52.5,384,94
53.5,340,87
54.5,310,86
55.5,459,51
56.5,845,107
57.5,286,84
58.5,523,92
59.5,612,127
60.5,344,66
61.5,457,101
62.5,590,91
63.5,349,145
64.5,534,76
65.5,402,82
66.5,382,78
67.5,454,84
68.5,482,97
69.5,360,104
70.5,469,71
71.5,653,81
72.5,313,69
73.5,544,96
74.5,634,73
75.5,448,73
76.5,327,64
77.5,443,72
78.5,500,62
79.5,339,123
80.5,434,80
81.5,222,60
82.5,409,81
83.5,310,75
84.5,485,73
85.5,405,42
86.5,482,93
87.5,377,91
88.5,429,61
89.5,533,43
90.5,495,99
91.5,255,72
92.5,375,70
93.5,416,97
94.5,270,107
95.5,703,70
96.5,441,48
97.5,487,82
98.5,515,84
99.5,716,48
100.5,304,56
101.5,343,91
102.5,263,95
103.5,214,106
104.5,653,54
105.5,393,98
106.5,343,141
107.5,517,81
108.5,408,108
109.5,575,78
110.5,459,38
111.5,365,50
112.5,507,50
113.5,893,28
114.5,744,69
115.5,756,48
116.5,558,42
117.5,533,43
118.5,265,24
119.5,347,48
120.5,584,45
121.5,422,59
122.5,314,41
123.5,433,51
124.5,478,28
125.5,417,58
126.5,533,78
127.5,584,60
128.5,652,38
129.5,381,68
130.5,700,100
131.5,579,39
132.5,454,60
133.5,503,38
134.5,132,57
135.5,571,40
136.5,419,54
137.5,575,35
138.5,607,41
139.5,544,30
140.5,298,40
141.5,192,37
142.5,479,56
143.5,259,40
144.5,412,40
145.5,429,40
146.5,473,50
147.5,266,79
148.5,156,45
149.5,320,66
150.5,301,48
151.5,161,21
152.5,90,36
153.5,329,41
154.5,158,36
155.5,55,40
156.5,222,41
157.5,162,44
158.5,338,46
159.5,198,33
160.5,116,26
161.5,239,36
162.5,149,22
163.5,120,30
164.5,92,32
165.5,113,15
166.5,179,23
167.5,133,20
168.5,72,32
169.5,148,28
170.5,118,21
171.5,55,29
172.5,48,7
173.5,18,13
174.5,120,11
175.5,93,11
176.5,72,6
177.5,13,11
178.5,33,8
179.5,33,7
180.5,13,10
181.5,14,12
182.5,7,3
183.5,37,11
184.5,18,5
185.5,15,12
186.5,12,6
187.5,14,6
188.5,42,4
189.5,4,4
190.5,20,3
191.5,13,7
192.5,2,7
193.5,6,3
194.5,9,5
195.5,20,2
196.5,13,4
197.5,10,3
198.5,10,5
199.5,4,5
200.5,6,7
201.5,13,8
202.5,3,3
203.5,8,3
204.5,7,2
205.5,6,1
206.5,2,7
207.5,14,2
208.5,5,4
209.5,8,2
210.5,3,0
211.5,15,2
212.5,13,4
213.5,7,7
214.5,3,4
215.5,10,0
216.5,6,1
217.5,4,3
218.5,2,4
219.5,3,1
220.5,1,1
221.5,2,3
222.5,3,2
223.5,2,3
224.5,4,1
225.5,1,7
226.5,7,2
227.5,2,6
228.5,0,3
229.5,5,2
230.5,10,1
231.5,5,1
232.5,1,3
233.5,1,0
234.5,3,3
235.5,0,13
236.5,7,5
237.5,3,2
238.5,2,0
239.5,2,2
240.5,3,2
241.5,3,0
242.5,2,1
243.5,2,1
244.5,2,1
245.5,1,0
247.5,2,0
248.5,3,0
249.5,1,0
251.5,4,0
252.5,7,1
253.5,1,1
254.5,1,0
256.5,1,0
257.5,1,0
258.5,0,3
259.5,1,1
260.5,0,1
261.5,1,0
262.5,1,0
263.5,0,1
265.5,1,0
267.5,1,1
268.5,0,1
269.5,1,1
270.5,2,0
271.5,2,1
272.5,0,1
273.5,1,0
274.5,0,1
275.5,0,1
277.5,0,1
