Base index shifted,dsDNA_3#TOP,dsDNA_3#BOT
-122.5,2,1
-121.5,4,3
-120.5,7,4
-119.5,8,0
-118.5,6,5
-117.5,5,3
-116.5,6,9
-115.5,3,1
-114.5,4,6
-113.5,5,1
-112.5,14,2
-111.5,3,3
-110.5,10,1
-109.5,4,3
-108.5,0,1
-107.5,7,0
-106.5,10,3
-105.5,10,1
-104.5,8,0
-103.5,5,1
-102.5,4,0
-101.5,5,3
-100.5,2,3
-99.5,6,0
-98.5,5,0
-97.5,1,1
-96.5,2,0
-95.5,3,1
-94.5,4,1
-93.5,4,0
-92.5,4,0
-90.5,3,0
-89.5,2,2
-88.5,0,1
-87.5,2,1
-85.5,5,2
-84.5,1,0
-82.5,3,1
-81.5,1,1
-79.5,2,0
-78.5,1,0
-77.5,2,0
-76.5,2,0
-75.5,0,1
-73.5,1,0
-71.5,2,0
-70.5,1,0
-69.5,0,1
-68.5,0,1
-67.5,1,0
-66.5,5,0
-65.5,1,0
-63.5,0,3
-61.5,2,0
-60.5,1,1
-58.5,1,0
-57.5,1,0
-56.5,1,0
-55.5,1,0
-54.5,1,0
-53.5,1,0
-52.5,1,0
-51.5,1,0
-50.5,2,0
-49.5,1,0
-48.5,2,1
-47.5,3,1
-46.5,1,0
-45.5,3,0
-44.5,0,1
-43.5,3,0
-42.5,1,0
-40.5,12,3
-39.5,2,1
-36.5,13,2
-35.5,0,1
-34.5,1,0
-33.5,5,0
-32.5,2,2
-31.5,5,0
-30.5,7,5
-29.5,9,2
-28.5,6,0
-27.5,3,0
-26.5,2,1
-25.5,5,1
-24.5,7,2
-23.5,10,3
-22.5,1,1
-21.5,2,1
-20.5,11,3
-19.5,9,2
-18.5,13,2
-17.5,24,0
-16.5,30,3
-15.5,39,7
-14.5,45,7
-13.5,77,3
-12.5,83,2
-11.5,117,4
-10.5,144,5
-9.5,219,7
-8.5,234,4
-7.5,356,4
-6.5,282,20
-5.5,209,10
-4.5,382,16
-3.5,302,26
-2.5,371,7
-1.5,376,19
-0.5,381,40
0.5,429,31706
1.5,417,89
2.5,598,24
3.5,557,18
4.5,319,22
5.5,525,17
6.5,263,16
7.5,297,13
8.5,258,358
9.5,136,22
10.5,91,13
11.5,90,15
12.5,109,13
13.5,67,24
14.5,28,76
15.5,12,10
16.5,12,5
17.5,11,39
18.5,14,36
19.5,10,14
20.5,8,4
21.5,5,10
22.5,4,12
23.5,13,2
24.5,10,3
25.5,3,10
26.5,7,16
27.5,4,5
28.5,4,26
29.5,6,26
30.5,2,7
31.5,2,15
32.5,3,21
33.5,6,5
34.5,1,16
35.5,6,3
36.5,5,3
37.5,1,10
38.5,4,3
39.5,1,4
40.5,3,24
41.5,4,2
42.5,4,7
43.5,2,85
44.5,0,12
45.5,0,2
46.5,0,3
47.5,3,5
48.5,4,41
49.5,0,13
50.5,0,25
51.5,1,18
52.5,3,25
53.5,0,12
54.5,0,11
55.5,1,9
56.5,1,25
57.5,0,20
58.5,1,5
59.5,0,55
60.5,0,4
61.5,1,6
62.5,2,6
63.5,0,7
64.5,0,8
65.5,2,1
66.5,0,9
67.5,2,8
68.5,2,4
69.5,1,23
70.5,0,9
71.5,0,3
72.5,0,10
73.5,1,9
74.5,1,30
75.5,0,38
76.5,0,9
77.5,0,7
78.5,3,12
79.5,1,17
80.5,0,2
81.5,0,3
82.5,0,4
83.5,1,5
84.5,0,4
85.5,1,4
86.5,0,2
87.5,0,6
88.5,1,5
89.5,2,1
90.5,0,9
91.5,1,5
92.5,1,2
93.5,0,22
94.5,0,12
95.5,0,5
96.5,0,4
97.5,2,21
98.5,1,3
99.5,2,5
100.5,0,16
101.5,0,4
102.5,1,14
103.5,4,12
104.5,4,1
105.5,1,2
106.5,1,6
107.5,0,5
108.5,2,16
109.5,1,4
110.5,0,11
111.5,0,11
112.5,0,6
113.5,0,4
114.5,0,8
115.5,0,27
116.5,0,14
117.5,1,4
118.5,1,6
119.5,0,14
120.5,2,4
121.5,2,3
122.5,0,4
123.5,1,6
124.5,1,4
125.5,0,8
126.5,0,11
127.5,0,8
128.5,1,2
129.5,0,12
130.5,0,7
131.5,0,5
132.5,1,7
133.5,0,1
134.5,0,5
135.5,0,6
136.5,0,12
137.5,0,15
138.5,0,9
139.5,1,4
140.5,0,3
141.5,0,3
142.5,0,13
143.5,0,16
144.5,0,8
145.5,1,8
146.5,0,8
147.5,0,2
148.5,1,8
149.5,0,7
150.5,0,9
151.5,0,8
152.5,0,12
153.5,1,5
154.5,1,1
155.5,0,6
156.5,0,4
157.5,1,7
158.5,0,5
159.5,1,6
160.5,1,9
161.5,0,5
162.5,0,2
163.5,1,4
164.5,0,5
165.5,0,4
166.5,0,25
167.5,1,4
168.5,0,11
169.5,0,10
170.5,0,2
171.5,0,6
172.5,0,4
173.5,0,6
174.5,0,13
175.5,0,23
176.5,0,1
177.5,0,1
178.5,0,11
179.5,3,29
180.5,0,4
181.5,0,3
182.5,0,10
183.5,0,7
184.5,1,8
185.5,0,16
186.5,2,10
187.5,0,8
188.5,0,3
189.5,3,9
190.5,2,7
191.5,1,3
192.5,0,6
193.5,0,11
194.5,0,36
195.5,0,10
196.5,0,8
197.5,1,10
198.5,0,6
199.5,1,8
200.5,1,12
201.5,1,12
202.5,0,10
203.5,0,9
204.5,0,7
205.5,1,9
206.5,0,7
207.5,0,1
208.5,0,4
209.5,0,10
210.5,0,12
211.5,1,6
212.5,2,11
213.5,0,12
214.5,0,11
215.5,0,11
216.5,1,13
217.5,1,9
218.5,0,12
219.5,0,3
220.5,0,18
221.5,0,3
222.5,2,6
223.5,0,2
224.5,0,5
225.5,0,10
226.5,1,3
227.5,0,1
228.5,0,15
229.5,0,7
230.5,0,12
231.5,0,2
232.5,0,7
233.5,0,15
234.5,0,7
235.5,4,15
236.5,0,4
237.5,0,3
238.5,0,3
239.5,0,10
240.5,0,10
241.5,0,4
242.5,0,6
243.5,0,1
244.5,0,28
245.5,0,18
246.5,3,6
247.5,0,6
248.5,0,7
249.5,0,9
250.5,0,8
251.5,1,21
252.5,1,12
253.5,0,10
254.5,0,7
255.5,0,17
256.5,0,14
257.5,1,4
258.5,1,5
259.5,1,7
260.5,0,3
261.5,0,10
262.5,1,9
263.5,2,3
264.5,0,9
265.5,0,16
266.5,0,3
267.5,0,2
269.5,0,11
270.5,1,2
271.5,0,2
272.5,3,1
273.5,0,1
274.5,0,3
275.5,0,1
276.5,0,2
277.5,3,0
278.5,0,4
279.5,0,3
280.5,5,1
282.5,0,4
283.5,1,0
284.5,0,4
285.5,1,3
287.5,0,6
288.5,1,0
289.5,0,2
291.5,0,3
292.5,0,1
297.5,0,1
298.5,0,1
299.5,0,2
300.5,0,1
302.5,1,0
304.5,0,1
307.5,2,0
314.5,0,1
315.5,1,0
318.5,0,1
319.5,0,2
320.5,0,1
