Base index shifted,HP0.6.4.GC_2#TOP,HP0.6.4.GC_2#BOT
-240.5,69,30
-239.5,46,85
-238.5,68,33
-237.5,361,66
-236.5,86,262
-235.5,53,66
-234.5,84,30
-233.5,69,45
-232.5,55,57
-231.5,79,28
-230.5,53,170
-229.5,42,59
-228.5,69,51
-227.5,83,93
-226.5,59,50
-225.5,42,37
-224.5,56,37
-223.5,28,27
-222.5,37,123
-221.5,51,36
-220.5,116,47
-219.5,65,60
-218.5,72,32
-217.5,76,44
-216.5,49,109
-215.5,65,66
-214.5,81,64
-213.5,86,158
-212.5,69,84
-211.5,75,153
-210.5,91,32
-209.5,64,43
-208.5,32,62
-207.5,53,37
-206.5,41,72
-205.5,49,36
-204.5,79,41
-203.5,42,228
-202.5,54,76
-201.5,71,45
-200.5,45,66
-199.5,45,69
-198.5,83,34
-197.5,32,51
-196.5,33,93
-195.5,129,102
-194.5,75,59
-193.5,38,147
-192.5,41,84
-191.5,116,39
-190.5,71,62
-189.5,25,89
-188.5,76,72
-187.5,24,76
-186.5,45,27
-185.5,32,146
-184.5,74,68
-183.5,35,59
-182.5,51,42
-181.5,37,26
-180.5,31,46
-179.5,144,115
-178.5,75,114
-177.5,101,56
-176.5,56,79
-175.5,48,27
-174.5,104,25
-173.5,34,127
-172.5,40,66
-171.5,36,73
-170.5,20,35
-169.5,46,29
-168.5,34,38
-167.5,40,31
-166.5,36,45
-165.5,60,35
-164.5,60,25
-163.5,31,26
-162.5,47,75
-161.5,116,46
-160.5,50,39
-159.5,42,30
-158.5,77,34
-157.5,66,78
-156.5,42,25
-155.5,57,25
-154.5,77,34
-153.5,39,83
-152.5,50,106
-151.5,67,37
-150.5,35,28
-149.5,39,27
-148.5,215,34
-147.5,60,82
-146.5,27,96
-145.5,40,123
-144.5,122,27
-143.5,28,36
-142.5,26,144
-141.5,88,36
-140.5,15,49
-139.5,29,34
-138.5,53,20
-137.5,79,25
-136.5,49,34
-135.5,24,58
-134.5,25,51
-133.5,74,41
-132.5,33,81
-131.5,68,40
-130.5,21,35
-129.5,19,13
-128.5,54,85
-127.5,37,61
-126.5,87,73
-125.5,41,54
-124.5,55,34
-123.5,55,38
-122.5,38,41
-121.5,38,72
-120.5,34,218
-119.5,40,62
-118.5,64,23
-117.5,36,66
-116.5,52,37
-115.5,43,30
-114.5,52,58
-113.5,58,26
-112.5,50,27
-111.5,41,19
-110.5,55,120
-109.5,33,33
-108.5,99,33
-107.5,66,51
-106.5,16,33
-105.5,24,47
-104.5,101,25
-103.5,31,21
-102.5,76,44
-101.5,35,44
-100.5,60,38
-99.5,42,30
-98.5,26,63
-97.5,16,113
-96.5,28,45
-95.5,70,46
-94.5,43,50
-93.5,119,28
-92.5,54,33
-91.5,34,27
-90.5,43,38
-89.5,81,95
-88.5,43,86
-87.5,48,27
-86.5,64,35
-85.5,45,25
-84.5,87,30
-83.5,30,34
-82.5,30,35
-81.5,51,31
-80.5,16,74
-79.5,18,141
-78.5,23,53
-77.5,33,42
-76.5,27,59
-75.5,56,72
-74.5,22,25
-73.5,40,135
-72.5,31,45
-71.5,45,22
-70.5,17,42
-69.5,54,35
-68.5,29,21
-67.5,24,21
-66.5,37,46
-65.5,34,42
-64.5,19,31
-63.5,35,15
-62.5,31,35
-61.5,19,49
-60.5,78,32
-59.5,37,24
-58.5,25,24
-57.5,78,19
-56.5,50,40
-55.5,29,30
-54.5,20,42
-53.5,23,15
-52.5,34,72
-51.5,17,44
-50.5,46,30
-49.5,18,45
-48.5,19,45
-47.5,39,14
-46.5,36,26
-45.5,91,31
-44.5,32,96
-43.5,43,64
-42.5,57,32
-41.5,61,40
-40.5,57,45
-39.5,59,13
-38.5,39,25
-37.5,49,28
-36.5,39,78
-35.5,31,42
-34.5,1081,62
-33.5,156,20
-32.5,179,37
-31.5,100,75
-30.5,136,2571
-29.5,147,192
-28.5,99,66
-27.5,73,91
-26.5,82,80
-25.5,160,87
-24.5,131,128
-23.5,119,157
-22.5,95,96
-21.5,230,110
-20.5,145,131
-19.5,106,109
-18.5,119,46
-17.5,56,64
-16.5,108,90
-15.5,200,177
-14.5,169,97
-13.5,302,118
-12.5,197,90
-11.5,325,136
-10.5,382,92
-9.5,327,157
-8.5,393,127
-7.5,243,187
-6.5,750,535
-5.5,319,495
-4.5,635,798
-3.5,506,1046
-2.5,774,1233
-1.5,716,2048
-0.5,448,1958
0.5,579,1703
1.5,703,2097
2.5,285,1082
3.5,1030,890
4.5,498,779
5.5,1140,291
6.5,809,433
7.5,1506,284
8.5,1321,224
9.5,917,188
10.5,1313,194
11.5,1136,139
12.5,779,112
13.5,1002,161
14.5,615,141
15.5,886,128
16.5,636,158
17.5,442,81
18.5,257,52
19.5,322,55
20.5,545,106
21.5,525,100
22.5,667,88
23.5,356,90
24.5,273,231
25.5,388,105
26.5,520,82
27.5,300,108
28.5,289,106
29.5,345,85
30.5,243,137
31.5,285,1036
32.5,170,89
33.5,103,80
34.5,155,124
35.5,1711,111
36.5,267,87
37.5,245,125
38.5,343,124
39.5,185,63
40.5,176,145
41.5,452,79
42.5,198,91
43.5,306,174
44.5,368,94
45.5,156,113
46.5,167,128
47.5,116,132
48.5,111,149
49.5,282,77
50.5,240,99
51.5,380,122
52.5,218,118
53.5,169,78
54.5,134,131
55.5,303,280
56.5,129,196
57.5,163,76
58.5,190,71
59.5,167,107
60.5,270,82
61.5,150,110
62.5,139,114
63.5,265,132
64.5,80,186
65.5,84,78
66.5,146,293
67.5,334,195
68.5,440,168
69.5,145,137
70.5,110,146
71.5,260,106
72.5,184,79
73.5,188,119
74.5,130,116
75.5,92,79
76.5,102,228
77.5,159,138
78.5,113,123
79.5,138,244
80.5,230,214
81.5,310,90
82.5,129,107
83.5,139,149
84.5,459,421
85.5,125,193
86.5,94,125
87.5,155,135
88.5,217,216
89.5,133,96
90.5,126,176
91.5,641,93
92.5,116,84
93.5,100,152
94.5,251,100
95.5,547,124
96.5,115,180
97.5,107,207
98.5,104,144
99.5,127,170
100.5,422,171
101.5,124,128
102.5,92,104
103.5,203,134
104.5,88,107
105.5,108,122
106.5,176,71
107.5,104,93
108.5,78,469
109.5,122,146
110.5,93,83
111.5,220,129
112.5,76,93
113.5,455,87
114.5,132,191
115.5,76,68
116.5,131,57
117.5,94,179
118.5,78,81
119.5,60,120
120.5,85,35
121.5,133,139
122.5,277,86
123.5,103,39
124.5,45,73
125.5,77,97
126.5,57,104
127.5,54,80
128.5,185,101
129.5,73,101
130.5,80,67
131.5,52,65
132.5,406,95
133.5,83,40
134.5,58,97
135.5,76,48
136.5,92,53
137.5,90,66
138.5,88,96
139.5,61,48
140.5,20,107
141.5,93,43
142.5,37,61
143.5,181,146
144.5,31,66
145.5,46,34
146.5,48,50
147.5,44,48
148.5,52,118
149.5,31,88
150.5,334,113
151.5,84,77
152.5,57,83
153.5,185,54
154.5,152,75
155.5,26,36
156.5,50,103
157.5,49,61
158.5,164,52
159.5,108,106
160.5,116,53
161.5,111,45
162.5,59,64
163.5,216,38
164.5,77,36
165.5,108,34
166.5,55,70
167.5,55,47
168.5,116,39
169.5,209,83
170.5,61,56
171.5,25,34
172.5,118,78
173.5,92,88
174.5,58,73
175.5,26,99
176.5,35,75
177.5,38,53
178.5,28,58
179.5,110,88
180.5,108,25
181.5,30,41
182.5,48,47
183.5,80,113
184.5,120,65
185.5,106,46
186.5,61,43
187.5,161,57
188.5,41,39
189.5,37,41
190.5,313,59
191.5,39,44
192.5,29,30
193.5,76,109
194.5,56,108
195.5,33,41
196.5,117,47
197.5,34,59
198.5,40,33
199.5,39,45
200.5,307,70
201.5,50,37
202.5,45,98
203.5,70,92
204.5,109,18
205.5,37,24
206.5,20,37
207.5,167,36
208.5,40,90
209.5,12,54
210.5,106,58
211.5,26,65
212.5,14,70
213.5,31,33
214.5,149,38
215.5,62,52
216.5,27,54
217.5,65,36
218.5,46,84
219.5,37,65
220.5,60,34
221.5,33,31
222.5,79,45
223.5,49,37
224.5,26,18
225.5,27,65
226.5,17,44
227.5,119,24
228.5,46,33
229.5,21,53
230.5,41,27
231.5,16,51
232.5,28,116
233.5,94,47
234.5,69,23
235.5,85,84
236.5,28,24
237.5,19,20
238.5,110,59
239.5,60,45
240.5,20,40
241.5,57,35
242.5,125,38
243.5,47,56
244.5,58,43
245.5,60,35
246.5,25,77
247.5,28,47
248.5,56,28
249.5,16,30
250.5,47,17
251.5,35,56
252.5,38,25
253.5,37,31
254.5,17,36
255.5,65,59
256.5,14,12
257.5,26,54
258.5,26,54
259.5,59,52
260.5,40,21
261.5,18,61
262.5,28,28
263.5,23,41
264.5,10,15
265.5,15,22
266.5,15,129
267.5,19,45
268.5,11,21
269.5,20,20
270.5,22,31
271.5,19,68
272.5,13,37
273.5,68,18
274.5,8,31
275.5,17,21
276.5,22,22
277.5,12,33
278.5,12,19
279.5,9,40
280.5,38,9
281.5,32,15
282.5,8,22
283.5,20,16
284.5,17,15
285.5,13,17
286.5,11,32
287.5,15,10
288.5,36,12
289.5,17,5
290.5,17,0
291.5,4,4
292.5,16,0
293.5,21,0
294.5,9,0
295.5,9,0
296.5,10,0
297.5,19,0
298.5,11,0
299.5,7,0
