Base index shifted,HP0.6.4.GC_3#TOP,HP0.6.4.GC_3#BOT
-80.5,12,70
-79.5,17,129
-78.5,28,56
-77.5,26,38
-76.5,9,40
-75.5,39,73
-74.5,25,23
-73.5,47,136
-72.5,28,40
-71.5,57,22
-70.5,26,51
-69.5,57,36
-68.5,39,18
-67.5,44,16
-66.5,50,55
-65.5,39,36
-64.5,19,27
-63.5,33,11
-62.5,41,23
-61.5,20,52
-60.5,84,22
-59.5,28,17
-58.5,29,23
-57.5,66,19
-56.5,74,25
-55.5,28,26
-54.5,27,36
-53.5,21,15
-52.5,40,48
-51.5,21,39
-50.5,48,17
-49.5,27,49
-48.5,23,49
-47.5,53,9
-46.5,42,22
-45.5,76,34
-44.5,42,79
-43.5,44,63
-42.5,63,30
-41.5,77,42
-40.5,71,41
-39.5,56,18
-38.5,41,21
-37.5,52,22
-36.5,21,61
-35.5,33,21
-34.5,1088,46
-33.5,118,17
-32.5,187,28
-31.5,91,45
-30.5,123,2197
-29.5,172,181
-28.5,100,47
-27.5,91,60
-26.5,93,75
-25.5,169,76
-24.5,173,76
-23.5,128,101
-22.5,124,103
-21.5,262,88
-20.5,199,110
-19.5,133,79
-18.5,130,34
-17.5,100,54
-16.5,155,52
-15.5,235,125
-14.5,230,86
-13.5,479,87
-12.5,294,71
-11.5,482,112
-10.5,522,82
-9.5,456,161
-8.5,467,139
-7.5,328,166
-6.5,1102,596
-5.5,390,427
-4.5,862,894
-3.5,648,1016
-2.5,1199,1111
-1.5,876,2248
-0.5,545,1993
0.5,681,1544
1.5,892,2104
2.5,382,975
3.5,1511,822
4.5,586,837
5.5,1541,206
6.5,1013,428
7.5,2308,240
8.5,1977,187
9.5,1321,156
10.5,1891,191
11.5,1636,95
12.5,986,88
13.5,1316,157
14.5,713,110
15.5,1167,87
16.5,895,113
17.5,538,65
18.5,322,49
19.5,371,56
20.5,644,79
21.5,578,70
22.5,675,92
23.5,301,82
24.5,262,210
25.5,387,123
26.5,565,63
27.5,237,75
28.5,201,98
29.5,393,62
30.5,221,96
31.5,303,1000
32.5,238,79
33.5,120,66
34.5,179,90
35.5,1758,92
36.5,275,72
37.5,249,106
38.5,357,100
39.5,203,52
40.5,187,110
41.5,536,65
42.5,217,88
43.5,359,164
44.5,397,89
45.5,186,112
46.5,216,83
47.5,151,114
48.5,113,114
49.5,281,60
50.5,218,90
51.5,439,96
52.5,189,111
53.5,167,74
54.5,146,87
55.5,294,195
56.5,143,152
57.5,121,73
58.5,212,70
59.5,130,121
60.5,260,47
61.5,143,74
62.5,138,97
63.5,261,72
64.5,65,134
65.5,87,64
66.5,144,191
67.5,269,121
68.5,333,120
69.5,162,87
70.5,81,90
71.5,286,54
72.5,157,42
73.5,146,82
74.5,97,49
75.5,79,38
76.5,70,117
77.5,129,102
78.5,77,43
79.5,98,134
80.5,133,131
81.5,199,32
82.5,94,51
83.5,66,81
84.5,319,218
85.5,67,102
86.5,42,62
87.5,102,51
88.5,145,81
89.5,73,40
90.5,54,68
91.5,417,42
92.5,54,19
93.5,72,67
94.5,146,31
95.5,328,59
96.5,76,72
97.5,61,84
98.5,66,49
99.5,64,55
100.5,238,56
101.5,72,36
102.5,47,34
103.5,128,78
104.5,50,37
105.5,56,50
106.5,117,27
107.5,43,45
108.5,51,229
109.5,54,69
110.5,47,26
111.5,98,59
112.5,42,28
113.5,287,43
114.5,54,80
115.5,40,23
116.5,97,24
117.5,81,100
118.5,56,48
119.5,38,74
120.5,51,29
121.5,97,90
122.5,194,42
123.5,58,23
124.5,27,39
125.5,47,59
126.5,50,57
127.5,50,34
128.5,147,67
129.5,82,70
130.5,59,50
131.5,33,40
132.5,312,69
133.5,52,32
134.5,39,57
135.5,45,52
136.5,63,30
137.5,66,47
138.5,75,38
139.5,40,56
140.5,18,80
141.5,65,27
142.5,32,44
143.5,140,105
144.5,25,48
145.5,29,18
146.5,50,26
147.5,40,30
148.5,41,102
149.5,36,55
150.5,244,81
151.5,84,68
152.5,35,68
153.5,144,56
154.5,151,51
155.5,14,38
156.5,43,72
157.5,36,59
158.5,134,37
159.5,75,85
160.5,69,29
161.5,100,44
162.5,46,55
163.5,167,39
164.5,63,31
165.5,91,32
166.5,47,52
167.5,59,30
168.5,90,41
169.5,178,92
170.5,50,69
171.5,20,28
172.5,105,48
173.5,93,68
174.5,44,73
175.5,26,79
176.5,27,83
177.5,38,33
178.5,39,56
179.5,76,93
180.5,77,27
181.5,21,26
182.5,58,34
183.5,93,102
184.5,102,34
185.5,82,51
186.5,53,49
187.5,139,45
188.5,47,43
189.5,40,44
190.5,298,61
191.5,53,38
192.5,23,52
193.5,61,118
194.5,59,105
195.5,43,35
196.5,120,44
197.5,35,58
198.5,39,46
199.5,36,44
200.5,254,71
201.5,46,35
202.5,55,75
203.5,51,95
204.5,103,23
205.5,42,31
206.5,24,37
207.5,163,33
208.5,38,92
209.5,19,50
210.5,91,46
211.5,27,55
212.5,18,85
213.5,39,30
214.5,174,63
215.5,62,59
216.5,42,61
217.5,65,34
218.5,53,76
219.5,35,54
220.5,67,33
221.5,38,39
222.5,77,43
223.5,50,34
224.5,26,22
225.5,39,70
226.5,27,43
227.5,123,23
228.5,45,49
229.5,36,58
230.5,37,47
231.5,28,40
232.5,36,97
233.5,94,43
234.5,58,31
235.5,84,80
236.5,31,19
237.5,26,21
238.5,115,62
239.5,74,34
240.5,30,38
241.5,53,30
242.5,113,30
243.5,43,47
244.5,62,27
245.5,43,33
246.5,30,65
247.5,28,33
248.5,79,13
249.5,31,33
250.5,44,21
251.5,40,50
252.5,38,27
253.5,41,24
254.5,20,31
255.5,48,51
256.5,15,18
257.5,19,42
258.5,30,40
259.5,63,49
260.5,54,14
261.5,19,47
262.5,30,23
263.5,14,23
264.5,15,20
265.5,14,22
266.5,8,101
267.5,37,47
268.5,21,14
269.5,16,12
270.5,9,28
271.5,12,60
272.5,13,29
273.5,71,27
274.5,10,36
275.5,12,19
276.5,23,27
277.5,16,33
278.5,12,20
279.5,10,39
280.5,23,14
281.5,48,18
282.5,6,14
283.5,16,24
284.5,9,9
285.5,19,11
286.5,9,24
287.5,36,17
288.5,30,8
289.5,20,8
290.5,11,2
291.5,15,4
292.5,16,0
293.5,7,0
294.5,6,0
295.5,18,0
296.5,8,0
297.5,7,0
298.5,7,0
299.5,10,0
