Base index,HP0.6.4.GC_3#TOP,HP0.6.4.GC_3#BOT
347,100,110
348,91,79
349,93,34
350,169,54
351,173,52
352,128,125
353,124,86
354,262,87
355,199,71
356,133,112
357,130,82
358,100,161
359,155,139
360,235,166
361,230,596
362,479,427
363,294,894
364,482,1016
365,522,1111
366,456,2248
367,467,1993
368,328,1544
369,1102,2104
370,390,975
371,862,822
372,648,837
373,1199,206
374,876,428
375,545,240
376,681,187
377,892,156
378,382,191
379,1511,95
380,586,88
381,1541,157
382,1013,110
383,2308,87
384,1977,113
385,1321,65
386,1891,49
387,1636,56
388,986,79
389,1316,70
390,713,92
391,1167,82
392,895,210
393,538,123
394,322,63
395,371,75
396,644,98
397,578,62
398,675,96
399,301,1000
400,262,79
401,387,66
402,565,90
403,237,92
404,201,72
405,393,106
406,221,100
407,303,52
408,238,110
409,120,65
410,179,88
411,1758,164
412,275,89
413,249,112
414,357,83
415,203,114
416,187,114
417,536,60
418,217,90
419,359,96
420,397,111
421,186,74
422,216,87
423,151,195
424,113,152
425,281,73
426,218,70
427,439,121
428,189,47
429,167,74
430,146,97
431,294,72
432,143,134
433,121,64
434,212,191
435,130,121
436,260,120
437,143,87
438,138,90
439,261,54
440,65,42
441,87,82
442,144,49
443,269,38
444,333,117
445,162,102
446,81,43
447,286,134
448,157,131
449,146,32
450,97,51
451,79,81
452,70,218
453,129,102
454,77,62
455,98,51
456,133,81
457,199,40
458,94,68
459,66,42
460,319,19
461,67,67
462,42,31
463,102,59
464,145,72
465,73,84
466,54,49
467,417,55
468,54,56
469,72,36
470,146,34
471,328,78
472,76,37
473,61,50
474,66,27
475,64,45
476,238,229
477,72,69
478,47,26
479,128,59
480,50,28
481,56,43
482,117,80
483,43,23
484,51,24
485,54,100
486,47,48
487,98,74
488,42,29
489,287,90
490,54,42
491,40,23
492,97,39
493,81,59
494,56,57
495,38,34
496,51,67
497,97,70
498,194,50
499,58,40
500,27,69
501,47,32
502,50,57
503,50,52
504,147,30
505,82,47
506,59,38
507,33,56
508,312,80
509,52,27
510,39,44
511,45,105
512,63,48
513,66,18
514,75,26
515,40,30
516,18,102
517,65,55
518,32,81
519,140,68
520,25,68
521,29,56
522,50,51
523,40,38
524,41,72
525,36,59
526,244,37
527,84,85
528,35,29
529,144,44
530,151,55
531,14,39
532,43,31
533,36,32
534,134,52
535,75,30
536,69,41
537,100,92
538,46,69
539,167,28
540,63,48
541,91,68
542,47,73
543,59,79
544,90,83
545,178,33
546,50,56
547,20,93
548,105,27
549,93,26
550,44,34
551,26,102
552,27,34
553,38,51
554,39,49
555,76,45
556,77,43
557,21,44
558,58,61
559,93,38
560,102,52
561,82,118
562,53,105
563,139,35
564,47,44
565,40,58
566,298,46
567,53,44
568,23,71
569,61,35
570,59,75
571,43,95
572,120,23
573,35,31
574,39,37
575,36,33
576,254,92
577,46,50
578,55,46
579,51,55
580,103,85
581,42,30
582,24,63
583,163,59
584,38,61
585,19,34
586,91,76
587,27,54
588,18,33
589,39,39
590,174,43
591,62,34
592,42,22
593,65,70
594,53,43
595,35,23
596,67,49
597,38,58
598,77,47
599,50,40
600,26,97
601,39,43
602,27,31
603,123,80
604,45,19
605,36,21
606,37,62
607,28,34
608,36,38
609,94,30
610,58,30
611,84,47
612,31,27
613,26,33
614,115,65
615,74,33
616,30,13
617,53,33
618,113,21
619,43,50
620,62,27
621,43,24
622,30,31
623,28,51
624,79,18
625,31,42
626,44,40
627,40,49
628,38,14
629,41,47
630,20,23
631,48,23
632,15,20
633,19,22
634,30,101
635,63,47
636,54,14
637,19,12
638,30,28
639,14,60
640,15,29
641,14,27
642,8,36
643,37,19
644,21,27
645,16,33
646,9,20
647,12,39
648,13,14
649,71,18
650,10,14
651,12,24
652,23,9
653,16,11
654,12,24
655,10,17
656,23,8
657,48,8
658,6,2
659,16,4
660,9,0
661,19,0
662,9,0
663,36,0
664,30,0
665,20,0
666,11,0
667,15,0
668,16,0
669,7,0
670,6,0
671,18,0
672,8,0
673,7,0
674,7,0
675,10,0
