Base index,HP0.6.4.GC_1#TOP,HP0.6.4.GC_1#BOT
362,444,637
363,314,998
364,420,1277
365,527,1542
366,388,2847
367,490,2621
368,307,2153
369,959,2532
370,459,1406
371,843,1109
372,644,963
373,1181,272
374,931,505
375,619,330
376,771,278
377,845,194
378,418,241
379,1430,140
380,647,107
381,1540,164
382,1081,127
383,2119,96
384,1750,128
385,1290,81
386,1743,49
387,1713,48
388,1102,106
389,1369,75
390,765,99
391,1039,96
392,900,205
393,544,136
394,394,80
395,375,129
396,588,112
397,532,109
398,627,127
399,335,1247
400,257,76
401,375,80
402,507,142
403,213,138
404,204,101
405,321,123
406,179,146
407,293,59
408,192,132
409,139,80
410,191,93
411,2080,162
412,299,79
413,247,106
414,378,113
415,185,127
416,196,134
417,625,76
418,218,74
419,382,117
420,360,115
421,182,74
422,220,128
423,138,282
424,98,225
425,261,108
426,202,72
427,463,121
428,213,76
429,126,90
430,139,119
431,322,102
432,140,207
433,132,96
434,194,256
435,147,185
436,282,170
437,152,105
438,140,111
439,332,68
440,85,63
441,85,81
442,149,81
443,346,80
444,468,216
445,176,138
446,102,90
447,333,184
448,182,191
449,202,58
450,137,70
451,115,95
452,100,312
453,186,142
454,93,90
455,131,100
456,183,138
457,227,68
458,107,120
459,109,65
460,398,58
461,120,101
462,87,41
463,119,75
464,192,103
465,117,99
466,101,80
467,506,87
468,77,89
469,89,72
470,215,46
471,438,84
472,84,55
473,78,88
474,68,45
475,111,58
476,330,297
477,88,73
478,64,42
479,155,75
480,57,56
481,49,46
482,139,129
483,62,42
484,85,48
485,107,103
486,58,85
487,151,77
488,56,48
489,359,110
490,119,47
491,69,29
492,99,48
493,106,69
494,86,85
495,58,65
496,76,77
497,125,80
498,251,60
499,107,37
500,36,90
501,87,41
502,48,83
503,63,59
504,180,36
505,92,76
506,62,42
507,51,43
508,402,96
509,73,46
510,48,59
511,76,146
512,73,43
513,71,25
514,108,56
515,54,54
516,16,98
517,83,71
518,38,97
519,155,80
520,43,86
521,57,59
522,42,56
523,59,71
524,52,109
525,36,61
526,376,56
527,100,105
528,53,39
529,195,54
530,131,60
531,34,50
532,45,51
533,71,42
534,153,71
535,110,56
536,108,59
537,96,71
538,83,73
539,193,46
540,72,79
541,123,83
542,49,74
543,70,108
544,102,90
545,246,60
546,69,77
547,33,106
548,138,35
549,110,42
550,72,47
551,34,103
552,50,48
553,46,59
554,43,56
555,103,51
556,113,60
557,40,66
558,59,59
559,146,40
560,129,38
561,100,131
562,75,110
563,202,41
564,53,66
565,56,70
566,348,73
567,57,46
568,35,100
569,106,36
570,65,94
571,54,100
572,102,26
573,48,28
574,37,47
575,49,33
576,318,89
577,58,57
578,55,66
579,68,68
580,160,83
581,46,39
582,40,56
583,227,80
584,55,57
585,34,35
586,138,76
587,49,58
588,25,41
589,44,43
590,173,38
591,81,32
592,42,33
593,93,86
594,66,51
595,42,37
596,73,57
597,45,63
598,77,32
599,80,48
600,36,122
601,37,42
602,35,32
603,140,119
604,56,28
605,46,21
606,59,60
607,35,34
608,42,29
609,97,36
610,67,40
611,108,58
612,38,30
613,46,31
614,113,82
615,79,51
616,48,23
617,71,42
618,147,37
619,55,46
620,79,20
621,69,27
622,37,34
623,30,40
624,77,19
625,41,55
626,49,31
627,45,32
628,39,16
629,49,46
630,33,31
631,67,35
632,19,28
633,27,28
634,44,118
635,92,53
636,63,16
637,31,29
638,35,38
639,29,53
640,12,35
641,14,18
642,17,21
643,36,33
644,32,19
645,24,32
646,17,31
647,13,47
648,27,14
649,78,29
650,24,27
651,29,22
652,34,8
653,16,15
654,13,33
655,22,21
656,34,9
657,32,8
658,9,4
659,18,5
660,21,0
661,25,0
662,12,0
663,28,0
664,34,0
665,11,0
666,21,0
667,12,0
668,22,0
669,17,0
670,12,0
671,16,0
672,8,0
673,16,0
674,11,0
675,4,0
