Base index shifted,HP0.6.4.GC_1#TOP,HP0.6.4.GC_1#BOT
-234.5,72,31
-233.5,48,46
-232.5,37,41
-231.5,57,38
-230.5,41,195
-229.5,40,51
-228.5,47,48
-227.5,78,96
-226.5,62,58
-225.5,50,24
-224.5,41,38
-223.5,40,41
-222.5,34,146
-221.5,45,52
-220.5,90,40
-219.5,52,51
-218.5,46,44
-217.5,61,46
-216.5,49,100
-215.5,59,62
-214.5,67,58
-213.5,57,146
-212.5,74,66
-211.5,56,118
-210.5,73,47
-209.5,48,34
-208.5,23,61
-207.5,56,31
-206.5,31,73
-205.5,38,42
-204.5,71,41
-203.5,41,206
-202.5,51,70
-201.5,60,44
-200.5,52,74
-199.5,45,55
-198.5,75,45
-197.5,38,47
-196.5,36,86
-195.5,106,68
-194.5,92,61
-193.5,40,146
-192.5,26,72
-191.5,109,42
-190.5,70,61
-189.5,24,123
-188.5,94,88
-187.5,28,66
-186.5,49,35
-185.5,42,139
-184.5,71,58
-183.5,36,58
-182.5,43,43
-181.5,44,29
-180.5,38,31
-179.5,125,101
-178.5,52,122
-177.5,88,55
-176.5,65,92
-175.5,37,36
-174.5,99,33
-173.5,35,136
-172.5,44,62
-171.5,26,74
-170.5,13,26
-169.5,27,36
-168.5,44,47
-167.5,29,22
-166.5,33,65
-165.5,41,46
-164.5,56,29
-163.5,39,49
-162.5,53,81
-161.5,77,41
-160.5,74,46
-159.5,50,42
-158.5,73,48
-157.5,60,86
-156.5,39,42
-155.5,39,23
-154.5,80,25
-153.5,41,101
-152.5,36,96
-151.5,64,37
-150.5,19,37
-149.5,48,25
-148.5,182,50
-147.5,59,109
-146.5,38,89
-145.5,29,104
-144.5,111,40
-143.5,28,44
-142.5,23,148
-141.5,73,43
-140.5,26,36
-139.5,38,34
-138.5,47,35
-137.5,86,38
-136.5,50,21
-135.5,21,60
-134.5,28,37
-133.5,51,36
-132.5,37,78
-131.5,64,40
-130.5,21,35
-129.5,19,12
-128.5,54,71
-127.5,32,54
-126.5,67,78
-125.5,37,47
-124.5,49,29
-123.5,68,29
-122.5,27,45
-121.5,39,58
-120.5,24,216
-119.5,35,58
-118.5,55,26
-117.5,34,76
-116.5,55,30
-115.5,36,27
-114.5,40,60
-113.5,84,15
-112.5,49,26
-111.5,32,24
-110.5,55,104
-109.5,31,25
-108.5,84,30
-107.5,44,42
-106.5,25,25
-105.5,24,43
-104.5,62,26
-103.5,25,32
-102.5,59,42
-101.5,26,34
-100.5,40,31
-99.5,52,36
-98.5,25,63
-97.5,21,90
-96.5,35,27
-95.5,55,36
-94.5,56,46
-93.5,117,32
-92.5,58,30
-91.5,39,13
-90.5,42,23
-89.5,78,82
-88.5,25,115
-87.5,40,15
-86.5,43,35
-85.5,37,16
-84.5,90,27
-83.5,20,29
-82.5,22,23
-81.5,41,33
-80.5,12,58
-79.5,19,130
-78.5,23,31
-77.5,17,25
-76.5,20,37
-75.5,37,54
-74.5,21,19
-73.5,41,100
-72.5,30,31
-71.5,30,13
-70.5,18,37
-69.5,39,20
-68.5,33,22
-67.5,29,23
-66.5,47,42
-65.5,28,41
-64.5,12,24
-63.5,32,14
-62.5,40,25
-61.5,21,27
-60.5,61,21
-59.5,17,16
-58.5,22,19
-57.5,69,19
-56.5,63,14
-55.5,27,27
-54.5,28,36
-53.5,19,17
-52.5,36,55
-51.5,18,44
-50.5,44,26
-49.5,22,55
-48.5,34,55
-47.5,40,3
-46.5,29,25
-45.5,81,37
-44.5,30,57
-43.5,37,43
-42.5,56,29
-41.5,51,28
-40.5,65,39
-39.5,49,20
-38.5,48,13
-37.5,47,16
-36.5,31,68
-35.5,30,24
-34.5,1079,48
-33.5,154,12
-32.5,153,34
-31.5,79,48
-30.5,106,2455
-29.5,136,160
-28.5,79,57
-27.5,80,45
-26.5,77,66
-25.5,150,76
-24.5,143,63
-23.5,130,110
-22.5,105,77
-21.5,196,100
-20.5,165,117
-19.5,113,93
-18.5,96,48
-17.5,68,54
-16.5,135,82
-15.5,186,159
-14.5,225,90
-13.5,444,77
-12.5,314,83
-11.5,420,147
-10.5,527,105
-9.5,388,146
-8.5,490,169
-7.5,307,182
-6.5,959,678
-5.5,459,637
-4.5,843,998
-3.5,644,1277
-2.5,1181,1542
-1.5,931,2847
-0.5,619,2621
0.5,771,2153
1.5,845,2532
2.5,418,1406
3.5,1430,1109
4.5,647,963
5.5,1540,272
6.5,1081,505
7.5,2119,330
8.5,1750,278
9.5,1290,194
10.5,1743,241
11.5,1713,140
12.5,1102,107
13.5,1369,164
14.5,765,127
15.5,1039,96
16.5,900,128
17.5,544,81
18.5,394,49
19.5,375,48
20.5,588,106
21.5,532,75
22.5,627,99
23.5,335,96
24.5,257,205
25.5,375,136
26.5,507,80
27.5,213,129
28.5,204,112
29.5,321,109
30.5,179,127
31.5,293,1247
32.5,192,76
33.5,139,80
34.5,191,142
35.5,2080,138
36.5,299,101
37.5,247,123
38.5,378,146
39.5,185,59
40.5,196,132
41.5,625,80
42.5,218,93
43.5,382,162
44.5,360,79
45.5,182,106
46.5,220,113
47.5,138,127
48.5,98,134
49.5,261,76
50.5,202,74
51.5,463,117
52.5,213,115
53.5,126,74
54.5,139,128
55.5,322,282
56.5,140,225
57.5,132,108
58.5,194,72
59.5,147,121
60.5,282,76
61.5,152,90
62.5,140,119
63.5,332,102
64.5,85,207
65.5,85,96
66.5,149,256
67.5,346,185
68.5,468,170
69.5,176,105
70.5,102,111
71.5,333,68
72.5,182,63
73.5,202,81
74.5,137,81
75.5,115,80
76.5,100,216
77.5,186,138
78.5,93,90
79.5,131,184
80.5,183,191
81.5,227,58
82.5,107,70
83.5,109,95
84.5,398,312
85.5,120,142
86.5,87,90
87.5,119,100
88.5,192,138
89.5,117,68
90.5,101,120
91.5,506,65
92.5,77,58
93.5,89,101
94.5,215,41
95.5,438,75
96.5,84,103
97.5,78,99
98.5,68,80
99.5,111,87
100.5,330,89
101.5,88,72
102.5,64,46
103.5,155,84
104.5,57,55
105.5,49,88
106.5,139,45
107.5,62,58
108.5,85,297
109.5,107,73
110.5,58,42
111.5,151,75
112.5,56,56
113.5,359,46
114.5,119,129
115.5,69,42
116.5,99,48
117.5,106,103
118.5,86,85
119.5,58,77
120.5,76,48
121.5,125,110
122.5,251,47
123.5,107,29
124.5,36,48
125.5,87,69
126.5,48,85
127.5,63,65
128.5,180,77
129.5,92,80
130.5,62,60
131.5,51,37
132.5,402,90
133.5,73,41
134.5,48,83
135.5,76,59
136.5,73,36
137.5,71,76
138.5,108,42
139.5,54,43
140.5,16,96
141.5,83,46
142.5,38,59
143.5,155,146
144.5,43,43
145.5,57,25
146.5,42,56
147.5,59,54
148.5,52,98
149.5,36,71
150.5,376,97
151.5,100,80
152.5,53,86
153.5,195,59
154.5,131,56
155.5,34,71
156.5,45,109
157.5,71,61
158.5,153,56
159.5,110,105
160.5,108,39
161.5,96,54
162.5,83,60
163.5,193,50
164.5,72,51
165.5,123,42
166.5,49,71
167.5,70,56
168.5,102,59
169.5,246,71
170.5,69,73
171.5,33,46
172.5,138,79
173.5,110,83
174.5,72,74
175.5,34,108
176.5,50,90
177.5,46,60
178.5,43,77
179.5,103,106
180.5,113,35
181.5,40,42
182.5,59,47
183.5,146,103
184.5,129,48
185.5,100,59
186.5,75,56
187.5,202,51
188.5,53,60
189.5,56,66
190.5,348,59
191.5,57,40
192.5,35,38
193.5,106,131
194.5,65,110
195.5,54,41
196.5,102,66
197.5,48,70
198.5,37,73
199.5,49,46
200.5,318,100
201.5,58,36
202.5,55,94
203.5,68,100
204.5,160,26
205.5,46,28
206.5,40,47
207.5,227,33
208.5,55,89
209.5,34,57
210.5,138,66
211.5,49,68
212.5,25,83
213.5,44,39
214.5,173,56
215.5,81,80
216.5,42,57
217.5,93,35
218.5,66,76
219.5,42,58
220.5,73,41
221.5,45,43
222.5,77,38
223.5,80,32
224.5,36,33
225.5,37,86
226.5,35,51
227.5,140,37
228.5,56,57
229.5,46,63
230.5,59,32
231.5,35,48
232.5,42,122
233.5,97,42
234.5,67,32
235.5,108,119
236.5,38,28
237.5,46,21
238.5,113,60
239.5,79,34
240.5,48,29
241.5,71,36
242.5,147,40
243.5,55,58
244.5,79,30
245.5,69,31
246.5,37,82
247.5,30,51
248.5,77,23
249.5,41,42
250.5,49,37
251.5,45,46
252.5,39,20
253.5,49,27
254.5,33,34
255.5,67,40
256.5,19,19
257.5,27,55
258.5,44,31
259.5,92,32
260.5,63,16
261.5,31,46
262.5,35,31
263.5,29,35
264.5,12,28
265.5,14,28
266.5,17,118
267.5,36,53
268.5,32,16
269.5,24,29
270.5,17,38
271.5,13,53
272.5,27,35
273.5,78,18
274.5,24,21
275.5,29,33
276.5,34,19
277.5,16,32
278.5,13,31
279.5,22,47
280.5,34,14
281.5,32,29
282.5,9,27
283.5,18,22
284.5,21,8
285.5,25,15
286.5,12,33
287.5,28,21
288.5,34,9
289.5,11,8
290.5,21,4
291.5,12,5
292.5,22,0
293.5,17,0
294.5,12,0
295.5,16,0
296.5,8,0
297.5,16,0
298.5,11,0
299.5,4,0
