Base index shifted,HPSA0.6.4_1#TOP,HPSA0.6.4_1#BOT
178.5,3,8
179.5,2,20
180.5,2,10
181.5,8,4
182.5,4,25
183.5,2,17
184.5,5,25
185.5,7,9
186.5,8,34
187.5,15,38
188.5,5,15
189.5,7,27
190.5,7,7
191.5,4,11
192.5,11,17
193.5,6,4
194.5,13,69
195.5,11,16
196.5,8,26
197.5,7,14
198.5,4,11
199.5,7,16
200.5,11,23
201.5,17,8
202.5,4,27
203.5,3,18
204.5,4,7
205.5,10,5
206.5,5,26
207.5,11,4
208.5,9,11
209.5,6,7
210.5,3,78
211.5,6,12
212.5,1,22
213.5,15,23
214.5,6,26
215.5,8,15
216.5,2,16
217.5,4,8
218.5,4,21
219.5,0,7
220.5,16,9
221.5,5,4
222.5,2,3
223.5,2,6
224.5,6,1
225.5,3,27
226.5,9,5
227.5,7,1
228.5,10,21
229.5,3,15
230.5,12,8
231.5,10,3
232.5,8,3
233.5,5,19
234.5,16,3
235.5,4,22
236.5,3,4
237.5,12,4
238.5,5,3
239.5,1,11
240.5,3,9
241.5,5,4
242.5,6,0
243.5,3,2
244.5,4,20
245.5,4,8
246.5,5,6
247.5,3,8
248.5,2,2
249.5,3,11
250.5,4,3
251.5,3,16
252.5,3,8
253.5,0,8
254.5,3,4
255.5,0,3
256.5,2,3
257.5,0,2
258.5,1,0
259.5,0,3
260.5,0,1
261.5,2,4
262.5,3,0
263.5,3,1
264.5,1,1
265.5,2,7
266.5,5,1
267.5,1,7
268.5,1,0
269.5,1,4
271.5,3,0
272.5,0,1
273.5,1,3
276.5,3,0
278.5,1,0
281.5,2,0
282.5,1,0
283.5,1,0
284.5,1,0
